class,filters,error
6,snow1,88.33
30,snow1,97.45
36,snow1,99.35
52,snow1,97.73
55,snow1,91.77
63,snow1,93.78
86,snow1,90.45
90,snow1,97.25
50,snow1,92.75
16,snow1,90.84
28,snow1,97.27
67,snow1,98.89
48,snow1,93.21
51,snow1,94.65
37,snow1,95.68
77,snow1,81.88
53,snow1,87.82
31,snow1,93.33
78,snow1,97.97
60,snow1,90.48
12,snow1,91.84
49,snow1,85.71
41,snow1,94.85
46,snow1,97.65
0,snow1,96.75
24,snow1,70.0
23,snow1,96.31
32,snow1,97.75
62,snow1,93.94
66,snow1,81.54
45,snow1,97.74
74,snow1,94.66
1,snow1,90.91
91,snow1,91.53
57,snow1,90.82
27,snow1,0.0
87,snow1,89.87
34,snow1,95.24
94,snow1,33.33
15,snow1,91.77
19,snow1,85.85
85,snow1,11.11
2,snow1,85.19
83,snow1,92.31
22,snow1,80.0
33,snow1,83.33
20,snow1,97.4
56,snow1,62.5
93,snow1,41.38
25,snow1,66.67
72,snow1,95.35
7,snow1,82.5
81,snow1,86.11
40,snow1,91.49
42,snow1,91.03
21,snow1,91.4
29,snow1,68.42
3,snow1,76.19
76,snow1,88.89
70,snow1,100.0
96,snow1,0.0
61,snow1,94.64
17,snow1,82.69
43,snow1,87.04
97,snow1,85.71
68,snow1,91.67
26,snow1,90.91
79,snow1,93.2
73,snow1,93.88
100,snow1,100.0
10,snow1,84.62
102,snow1,88.0
71,snow1,91.67
35,snow1,97.14
13,snow1,50.0
75,snow1,90.2
88,snow1,64.29
39,snow1,81.82
11,snow1,84.44
58,snow1,83.33
84,snow1,0.0
38,snow1,66.67
99,snow1,78.95
59,snow1,100.0
18,snow1,80.0
54,snow1,56.25
89,snow1,12.5
101,snow1,60.0
5,snow1,100.0
9,snow1,0.0
44,snow1,71.43
4,snow1,77.78
65,snow1,100.0
92,snow1,8.33
80,snow1,100.0
14,snow1,0.0
64,snow1,36.36
47,snow1,85.19
8,snow1,0.0
69,snow1,81.82
82,snow1,100.0
98,snow1,0.0
95,snow1,0.0
