class,filters,error
37,Original,94.96
12,Original,92.86
31,Original,97.22
36,Original,97.4
0,Original,95.12
53,Original,92.86
23,Original,98.46
45,Original,99.62
46,Original,96.47
66,Original,91.54
28,Original,98.05
90,Original,97.57
57,Original,95.92
56,Original,83.33
74,Original,96.6
67,Original,100.0
48,Original,93.52
50,Original,96.62
83,Original,91.03
30,Original,99.07
81,Original,83.33
73,Original,97.96
68,Original,91.67
79,Original,93.2
32,Original,98.03
16,Original,94.14
62,Original,84.85
52,Original,99.17
72,Original,97.67
63,Original,91.11
70,Original,100.0
15,Original,94.3
87,Original,86.08
47,Original,88.89
55,Original,95.24
77,Original,89.13
43,Original,94.44
91,Original,93.22
20,Original,97.4
86,Original,95.51
102,Original,96.0
100,Original,100.0
75,Original,90.2
49,Original,89.29
51,Original,97.53
6,Original,96.67
76,Original,83.33
1,Original,93.18
24,Original,70.0
69,Original,72.73
27,Original,0.0
21,Original,92.47
44,Original,100.0
88,Original,78.57
19,Original,93.4
61,Original,96.43
97,Original,76.19
4,Original,88.89
17,Original,84.62
33,Original,83.33
3,Original,71.43
78,Original,98.48
60,Original,96.83
54,Original,62.5
2,Original,87.04
41,Original,96.91
99,Original,100.0
84,Original,25.0
71,Original,87.5
96,Original,42.86
7,Original,80.0
42,Original,93.59
59,Original,100.0
85,Original,11.11
29,Original,92.98
92,Original,8.33
95,Original,0.0
39,Original,90.91
40,Original,93.62
93,Original,53.45
25,Original,80.95
10,Original,84.62
35,Original,94.29
22,Original,84.62
26,Original,90.91
11,Original,95.56
101,Original,100.0
64,Original,45.45
8,Original,0.0
82,Original,100.0
65,Original,55.56
13,Original,75.0
14,Original,33.33
38,Original,100.0
58,Original,83.33
34,Original,100.0
5,Original,100.0
94,Original,66.67
80,Original,100.0
89,Original,75.0
98,Original,66.67
18,Original,80.0
9,Original,100.0
