class,filters,error
90,fognight,48.54
15,fognight,45.57
22,fognight,66.15
63,fognight,20.0
65,fognight,0.0
16,fognight,59.34
21,fognight,23.66
30,fognight,74.71
66,fognight,14.62
55,fognight,16.88
12,fognight,39.8
45,fognight,58.49
48,fognight,49.38
50,fognight,42.75
28,fognight,36.72
31,fognight,58.89
17,fognight,19.23
67,fognight,27.78
79,fognight,40.78
83,fognight,35.9
23,fognight,69.23
57,fognight,28.57
37,fognight,24.46
72,fognight,45.35
42,fognight,60.26
78,fognight,33.5
52,fognight,47.93
20,fognight,53.68
53,fognight,26.05
75,fognight,47.06
97,fognight,36.51
86,fognight,14.61
61,fognight,37.5
51,fognight,36.63
36,fognight,53.9
0,fognight,54.47
46,fognight,43.92
35,fognight,20.0
49,fognight,44.64
71,fognight,20.83
32,fognight,46.35
87,fognight,22.15
81,fognight,27.78
41,fognight,69.07
2,fognight,33.33
62,fognight,30.3
94,fognight,0.0
77,fognight,45.65
70,fognight,48.28
88,fognight,21.43
76,fognight,16.67
6,fognight,20.0
74,fognight,40.29
43,fognight,50.0
59,fognight,29.63
29,fognight,12.28
19,fognight,30.19
1,fognight,45.45
56,fognight,0.0
34,fognight,47.62
3,fognight,42.86
47,fognight,33.33
73,fognight,59.18
64,fognight,9.09
39,fognight,24.24
68,fognight,41.67
11,fognight,15.56
91,fognight,32.2
10,fognight,23.08
5,fognight,28.57
58,fognight,0.0
89,fognight,12.5
7,fognight,2.5
54,fognight,0.0
60,fognight,22.22
92,fognight,16.67
26,fognight,40.91
27,fognight,0.0
82,fognight,14.29
84,fognight,0.0
99,fognight,57.89
40,fognight,48.94
93,fognight,6.9
100,fognight,16.67
102,fognight,20.0
38,fognight,22.22
69,fognight,63.64
95,fognight,0.0
33,fognight,55.56
8,fognight,0.0
25,fognight,14.29
101,fognight,60.0
96,fognight,42.86
80,fognight,33.33
13,fognight,0.0
4,fognight,11.11
9,fognight,0.0
24,fognight,5.0
98,fognight,0.0
85,fognight,0.0
44,fognight,28.57
18,fognight,0.0
14,fognight,33.33
