class,filters,error
52,fograin,47.52
46,fograin,46.27
15,fograin,43.67
48,fograin,52.16
90,fograin,61.0
47,fograin,48.15
40,fograin,46.81
53,fograin,22.27
51,fograin,42.39
32,fograin,58.43
86,fograin,28.09
45,fograin,58.11
7,fograin,5.0
63,fograin,54.22
23,fograin,70.46
20,fograin,63.2
4,fograin,11.11
61,fograin,28.57
27,fograin,0.0
1,fograin,50.0
74,fograin,59.71
79,fograin,47.57
36,fograin,63.64
31,fograin,61.67
0,fograin,55.28
49,fograin,39.29
78,fograin,41.62
97,fograin,36.51
50,fograin,50.24
60,fograin,19.05
30,fograin,75.87
57,fograin,25.51
16,fograin,60.07
41,fograin,70.1
62,fograin,30.3
19,fograin,22.64
42,fograin,50.0
28,fograin,36.33
88,fograin,17.86
73,fograin,63.27
66,fograin,41.54
11,fograin,15.56
93,fograin,13.79
3,fograin,19.05
55,fograin,17.32
22,fograin,63.08
39,fograin,21.21
29,fograin,8.77
37,fograin,25.18
77,fograin,47.1
81,fograin,44.44
71,fograin,20.83
12,fograin,36.73
6,fograin,28.33
21,fograin,25.81
87,fograin,25.32
35,fograin,37.14
67,fograin,40.0
59,fograin,18.52
2,fograin,25.93
83,fograin,50.0
70,fograin,46.55
43,fograin,48.15
34,fograin,47.62
91,fograin,44.07
25,fograin,19.05
54,fograin,12.5
26,fograin,50.0
92,fograin,16.67
75,fograin,60.78
100,fograin,33.33
56,fograin,12.5
8,fograin,0.0
102,fograin,36.0
17,fograin,15.38
38,fograin,44.44
33,fograin,66.67
65,fograin,0.0
69,fograin,45.45
68,fograin,44.44
76,fograin,33.33
64,fograin,9.09
99,fograin,73.68
85,fograin,0.0
72,fograin,47.67
101,fograin,40.0
5,fograin,28.57
82,fograin,42.86
18,fograin,20.0
44,fograin,28.57
24,fograin,0.0
89,fograin,12.5
94,fograin,0.0
10,fograin,30.77
84,fograin,0.0
14,fograin,0.0
96,fograin,42.86
58,fograin,8.33
98,fograin,0.0
95,fograin,0.0
9,fograin,33.33
80,fograin,33.33
13,fograin,0.0
