class,filters,error
45,fogsnow,53.21
59,fogsnow,14.81
83,fogsnow,46.15
12,fogsnow,40.82
31,fogsnow,51.67
51,fogsnow,34.57
90,fogsnow,61.97
49,fogsnow,33.93
0,fogsnow,47.15
16,fogsnow,47.99
30,fogsnow,75.64
28,fogsnow,36.33
41,fogsnow,68.04
15,fogsnow,37.34
32,fogsnow,53.37
17,fogsnow,23.08
52,fogsnow,46.28
54,fogsnow,0.0
55,fogsnow,16.02
25,fogsnow,38.1
37,fogsnow,22.3
60,fogsnow,26.98
86,fogsnow,28.65
63,fogsnow,63.11
23,fogsnow,59.08
77,fogsnow,50.72
50,fogsnow,41.3
40,fogsnow,34.04
70,fogsnow,48.28
97,fogsnow,36.51
69,fogsnow,72.73
46,fogsnow,41.18
66,fogsnow,27.69
79,fogsnow,63.11
38,fogsnow,11.11
53,fogsnow,16.81
78,fogsnow,50.76
87,fogsnow,23.42
26,fogsnow,36.36
61,fogsnow,26.79
20,fogsnow,59.31
99,fogsnow,36.84
29,fogsnow,24.56
36,fogsnow,73.38
6,fogsnow,18.33
72,fogsnow,54.65
48,fogsnow,41.67
42,fogsnow,48.72
67,fogsnow,41.67
74,fogsnow,54.85
92,fogsnow,8.33
47,fogsnow,22.22
22,fogsnow,69.23
85,fogsnow,0.0
19,fogsnow,23.58
21,fogsnow,35.48
91,fogsnow,59.32
7,fogsnow,0.0
2,fogsnow,29.63
57,fogsnow,35.2
81,fogsnow,55.56
10,fogsnow,53.85
88,fogsnow,17.86
56,fogsnow,12.5
9,fogsnow,0.0
76,fogsnow,38.89
11,fogsnow,35.56
73,fogsnow,79.59
35,fogsnow,31.43
62,fogsnow,36.36
93,fogsnow,1.72
58,fogsnow,33.33
43,fogsnow,53.7
75,fogsnow,64.71
82,fogsnow,14.29
102,fogsnow,12.0
39,fogsnow,36.36
3,fogsnow,9.52
68,fogsnow,50.0
27,fogsnow,5.88
1,fogsnow,25.0
34,fogsnow,23.81
96,fogsnow,0.0
8,fogsnow,0.0
71,fogsnow,45.83
95,fogsnow,0.0
24,fogsnow,0.0
33,fogsnow,50.0
4,fogsnow,11.11
65,fogsnow,0.0
13,fogsnow,25.0
100,fogsnow,33.33
94,fogsnow,0.0
64,fogsnow,9.09
101,fogsnow,60.0
44,fogsnow,42.86
18,fogsnow,40.0
89,fogsnow,12.5
84,fogsnow,0.0
80,fogsnow,66.67
5,fogsnow,57.14
98,fogsnow,0.0
14,fogsnow,0.0
