class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
0,92.68,95.12,95.12,46.34,52.03,54.47,41.46,42.28,57.72,41.46,46.34,55.28,91.06,91.06,92.68,91.06,93.5,91.06,123
1,95.45,93.18,90.91,38.64,40.91,45.45,34.09,38.64,50.0,43.18,40.91,50.0,95.45,88.64,90.91,95.45,86.36,88.64,44
2,87.04,87.04,90.74,33.33,33.33,33.33,33.33,24.07,29.63,33.33,22.22,25.93,83.33,79.63,77.78,81.48,81.48,85.19,54
3,85.71,71.43,66.67,19.05,19.05,42.86,19.05,19.05,19.05,23.81,0.0,19.05,80.95,66.67,66.67,71.43,61.9,61.9,21
4,77.78,88.89,66.67,33.33,44.44,11.11,0.0,22.22,11.11,11.11,22.22,11.11,77.78,88.89,77.78,88.89,88.89,77.78,9
5,100.0,100.0,100.0,28.57,14.29,28.57,14.29,28.57,42.86,42.86,42.86,28.57,100.0,100.0,100.0,100.0,100.0,100.0,7
6,90.0,96.67,90.0,15.0,15.0,20.0,28.33,10.0,38.33,28.33,23.33,28.33,91.67,86.67,88.33,88.33,83.33,83.33,60
7,75.0,80.0,87.5,7.5,7.5,2.5,5.0,5.0,2.5,12.5,0.0,5.0,52.5,60.0,70.0,52.5,72.5,65.0,40
8,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,33.33,33.33,0.0,0.0,3
9,66.67,100.0,66.67,0.0,0.0,0.0,0.0,33.33,0.0,33.33,33.33,33.33,33.33,100.0,66.67,33.33,100.0,66.67,3
10,92.31,84.62,92.31,7.69,23.08,23.08,38.46,61.54,15.38,38.46,53.85,30.77,92.31,84.62,84.62,84.62,84.62,84.62,13
11,93.33,95.56,93.33,24.44,22.22,15.56,24.44,31.11,33.33,31.11,37.78,15.56,77.78,77.78,82.22,80.0,82.22,93.33,45
12,95.92,92.86,95.92,41.84,51.02,39.8,42.86,46.94,40.82,42.86,38.78,36.73,93.88,91.84,93.88,88.78,91.84,92.86,98
13,75.0,75.0,50.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,100.0,50.0,50.0,50.0,50.0,4
