filter,class,predicted_class
Original,52,52
snownight,52,50
Original,36,36
snownight,36,36
Original,66,66
snownight,66,66
Original,30,30
snownight,30,30
Original,41,41
snownight,41,41
Original,67,67
snownight,67,67
Original,73,73
snownight,73,73
Original,46,46
snownight,46,46
Original,52,52
snownight,52,52
Original,59,59
snownight,59,59
Original,32,32
snownight,32,32
Original,31,31
snownight,31,31
Original,53,53
snownight,53,53
Original,23,23
snownight,23,23
Original,68,68
snownight,68,68
Original,51,51
snownight,51,51
Original,90,90
snownight,90,90
Original,16,16
snownight,16,16
Original,46,46
snownight,46,46
Original,67,67
snownight,67,67
Original,30,30
snownight,30,30
Original,55,55
snownight,55,55
Original,28,28
snownight,28,28
Original,11,11
snownight,11,11
Original,21,21
snownight,21,21
Original,72,72
snownight,72,72
Original,50,50
snownight,50,50
Original,23,23
snownight,23,23
Original,55,55
snownight,55,55
Original,77,77
snownight,77,77
Original,68,68
snownight,68,68
Original,90,90
snownight,90,90
Original,30,30
snownight,30,30
Original,0,0
snownight,0,0
Original,77,77
snownight,77,77
Original,70,70
snownight,70,70
Original,28,28
snownight,28,28
Original,23,23
snownight,23,23
Original,28,28
snownight,28,30
Original,87,33
snownight,87,3
Original,52,52
snownight,52,52
Original,51,51
snownight,51,51
Original,49,49
snownight,49,49
Original,73,73
snownight,73,73
Original,32,32
snownight,32,32
Original,57,57
snownight,57,57
Original,6,6
snownight,6,6
Original,47,47
snownight,47,47
Original,63,63
snownight,63,63
Original,32,32
snownight,32,32
Original,12,12
snownight,12,29
Original,20,20
snownight,20,20
Original,50,50
snownight,50,50
Original,86,86
snownight,86,86
Original,56,56
snownight,56,56
Original,52,52
snownight,52,52
Original,16,16
snownight,16,16
Original,74,74
snownight,74,74
Original,12,12
snownight,12,12
Original,57,57
snownight,57,57
Original,30,30
snownight,30,30
Original,50,50
snownight,50,50
Original,81,81
snownight,81,81
Original,15,15
snownight,15,15
Original,38,38
snownight,38,38
Original,63,63
snownight,63,63
Original,12,12
snownight,12,12
Original,30,30
snownight,30,30
Original,53,53
snownight,53,53
Original,32,32
snownight,32,32
Original,23,23
snownight,23,23
Original,2,2
snownight,2,2
Original,36,36
snownight,36,36
Original,57,57
snownight,57,57
Original,53,53
snownight,53,53
Original,91,91
snownight,91,91
Original,52,52
snownight,52,52
Original,53,53
snownight,53,53
Original,63,63
snownight,63,63
Original,86,86
snownight,86,86
Original,87,89
snownight,87,89
Original,90,90
snownight,90,90
Original,16,16
snownight,16,16
Original,36,36
snownight,36,36
Original,53,53
snownight,53,53
Original,22,22
snownight,22,22
Original,43,43
snownight,43,43
Original,15,15
snownight,15,15
Original,53,53
snownight,53,53
Original,28,28
snownight,28,28
Original,87,62
snownight,87,41
Original,46,46
snownight,46,46
Original,53,53
snownight,53,53
Original,46,46
snownight,46,46
Original,21,28
snownight,21,28
Original,90,90
snownight,90,90
Original,74,74
snownight,74,74
Original,48,48
snownight,48,48
Original,66,66
snownight,66,66
Original,57,57
snownight,57,57
Original,41,41
snownight,41,41
Original,90,90
snownight,90,90
Original,50,50
snownight,50,50
Original,76,76
snownight,76,76
Original,66,66
snownight,66,66
Original,32,32
snownight,32,32
Original,91,91
snownight,91,91
Original,16,16
snownight,16,16
Original,30,30
snownight,30,30
Original,60,60
snownight,60,60
Original,12,12
snownight,12,12
Original,86,86
snownight,86,86
Original,17,17
snownight,17,15
Original,52,52
snownight,52,52
Original,51,51
snownight,51,51
Original,26,26
snownight,26,26
Original,72,72
snownight,72,72
Original,46,46
snownight,46,46
Original,12,12
snownight,12,12
Original,31,31
snownight,31,31
Original,48,30
snownight,48,30
Original,56,56
snownight,56,55
Original,2,2
snownight,2,2
Original,30,30
snownight,30,30
Original,50,50
snownight,50,50
Original,23,23
snownight,23,23
Original,48,48
snownight,48,48
Original,48,48
snownight,48,48
Original,52,52
snownight,52,52
Original,50,50
snownight,50,50
Original,16,16
snownight,16,16
Original,67,67
snownight,67,67
Original,50,50
snownight,50,50
Original,36,36
snownight,36,36
Original,49,49
snownight,49,49
Original,75,75
snownight,75,75
Original,45,45
snownight,45,45
Original,48,48
snownight,48,48
Original,32,32
snownight,32,32
Original,80,80
snownight,80,80
Original,31,31
snownight,31,31
Original,90,90
snownight,90,90
Original,39,39
snownight,39,39
Original,53,53
snownight,53,53
Original,48,48
snownight,48,48
Original,36,36
