class,filters,error
75,rainnight,90.2
57,rainnight,93.88
55,rainnight,93.07
54,rainnight,43.75
74,rainnight,92.23
63,rainnight,76.89
77,rainnight,81.88
41,rainnight,96.91
52,rainnight,95.66
73,rainnight,97.96
46,rainnight,94.9
53,rainnight,78.99
50,rainnight,91.79
37,rainnight,94.96
31,rainnight,91.11
12,rainnight,89.8
7,rainnight,70.0
66,rainnight,76.15
78,rainnight,96.95
30,rainnight,97.68
48,rainnight,91.98
0,rainnight,97.56
15,rainnight,92.41
36,rainnight,98.05
90,rainnight,95.15
93,rainnight,32.76
23,rainnight,96.92
32,rainnight,91.85
40,rainnight,89.36
51,rainnight,95.88
21,rainnight,82.8
72,rainnight,97.67
16,rainnight,93.41
4,rainnight,88.89
19,rainnight,87.74
43,rainnight,96.3
87,rainnight,53.16
11,rainnight,86.67
82,rainnight,85.71
22,rainnight,83.08
20,rainnight,96.54
1,rainnight,90.91
91,rainnight,89.83
86,rainnight,78.65
79,rainnight,90.29
27,rainnight,23.53
6,rainnight,90.0
28,rainnight,92.19
67,rainnight,93.89
2,rainnight,90.74
34,rainnight,100.0
47,rainnight,92.59
70,rainnight,96.55
42,rainnight,97.44
68,rainnight,94.44
35,rainnight,82.86
3,rainnight,61.9
39,rainnight,90.91
25,rainnight,100.0
96,rainnight,28.57
56,rainnight,62.5
60,rainnight,88.89
45,rainnight,97.36
29,rainnight,87.72
17,rainnight,86.54
102,rainnight,96.0
62,rainnight,87.88
61,rainnight,91.07
83,rainnight,85.9
81,rainnight,88.89
69,rainnight,81.82
49,rainnight,91.07
97,rainnight,77.78
44,rainnight,85.71
24,rainnight,70.0
88,rainnight,67.86
26,rainnight,90.91
58,rainnight,75.0
85,rainnight,66.67
99,rainnight,84.21
92,rainnight,16.67
89,rainnight,87.5
65,rainnight,33.33
10,rainnight,76.92
76,rainnight,83.33
71,rainnight,100.0
33,rainnight,83.33
59,rainnight,92.59
5,rainnight,100.0
14,rainnight,66.67
80,rainnight,100.0
100,rainnight,50.0
13,rainnight,25.0
64,rainnight,54.55
101,rainnight,40.0
8,rainnight,66.67
38,rainnight,77.78
84,rainnight,0.0
95,rainnight,0.0
18,rainnight,40.0
9,rainnight,66.67
94,rainnight,0.0
98,rainnight,100.0
