class,filters,error
37,snownight,89.93
12,snownight,88.78
31,snownight,95.56
36,snownight,100.0
0,snownight,91.06
53,snownight,81.93
23,snownight,96.92
45,snownight,97.36
46,snownight,94.9
66,snownight,67.69
28,snownight,92.58
90,snownight,91.42
57,snownight,91.33
56,snownight,58.33
74,snownight,84.47
67,snownight,96.11
48,snownight,87.96
50,snownight,89.61
83,snownight,87.18
30,snownight,97.91
81,snownight,83.33
73,snownight,97.96
68,snownight,94.44
79,snownight,86.41
32,snownight,90.45
16,snownight,94.51
62,snownight,84.85
52,snownight,95.87
72,snownight,93.02
63,snownight,70.22
70,snownight,98.28
15,snownight,85.44
87,snownight,37.34
47,snownight,77.78
55,snownight,90.04
77,snownight,81.16
43,snownight,83.33
91,snownight,79.66
20,snownight,95.24
86,snownight,83.71
102,snownight,88.0
100,snownight,0.0
75,snownight,84.31
49,snownight,94.64
51,snownight,91.36
6,snownight,88.33
76,snownight,83.33
1,snownight,95.45
24,snownight,70.0
69,snownight,72.73
27,snownight,5.88
21,snownight,84.95
44,snownight,85.71
88,snownight,78.57
19,snownight,90.57
61,snownight,92.86
97,snownight,79.37
4,snownight,88.89
17,snownight,82.69
33,snownight,83.33
3,snownight,71.43
78,snownight,91.37
60,snownight,93.65
54,snownight,31.25
2,snownight,81.48
41,snownight,94.85
99,snownight,84.21
84,snownight,0.0
71,snownight,100.0
96,snownight,0.0
7,snownight,52.5
42,snownight,92.31
59,snownight,100.0
85,snownight,22.22
29,snownight,75.44
92,snownight,8.33
95,snownight,0.0
39,snownight,87.88
40,snownight,91.49
93,snownight,15.52
25,snownight,90.48
10,snownight,84.62
35,snownight,97.14
22,snownight,78.46
26,snownight,95.45
11,snownight,80.0
101,snownight,20.0
64,snownight,27.27
8,snownight,33.33
82,snownight,100.0
65,snownight,77.78
13,snownight,50.0
14,snownight,33.33
38,snownight,66.67
58,snownight,58.33
34,snownight,95.24
5,snownight,100.0
94,snownight,0.0
80,snownight,100.0
89,snownight,75.0
98,snownight,66.67
18,snownight,60.0
9,snownight,33.33
