class,filters,error
48,Original,93.83
74,Original,95.15
90,Original,97.41
42,Original,94.87
57,Original,89.8
51,Original,96.3
20,Original,96.54
11,Original,91.11
30,Original,97.91
52,Original,95.66
46,Original,97.25
15,Original,90.51
37,Original,94.24
22,Original,84.62
50,Original,95.41
19,Original,90.57
58,Original,75.0
79,Original,93.2
55,Original,92.21
53,Original,87.82
98,Original,100.0
76,Original,88.89
35,Original,94.29
32,Original,97.47
23,Original,96.0
86,Original,94.38
70,Original,100.0
61,Original,98.21
47,Original,81.48
21,Original,91.4
34,Original,100.0
28,Original,97.66
66,Original,87.69
67,Original,99.44
93,Original,58.62
36,Original,99.35
24,Original,65.0
88,Original,85.71
82,Original,85.71
45,Original,98.87
77,Original,89.86
29,Original,82.46
27,Original,0.0
72,Original,96.51
54,Original,56.25
0,Original,92.68
78,Original,97.46
41,Original,94.85
91,Original,91.53
12,Original,92.86
2,Original,92.59
83,Original,97.44
60,Original,96.83
97,Original,87.3
31,Original,90.0
16,Original,91.58
7,Original,80.0
65,Original,88.89
25,Original,66.67
3,Original,61.9
1,Original,90.91
49,Original,82.14
68,Original,91.67
6,Original,86.67
63,Original,94.67
56,Original,62.5
43,Original,92.59
69,Original,72.73
62,Original,84.85
40,Original,85.11
75,Original,98.04
87,Original,94.3
64,Original,81.82
89,Original,62.5
59,Original,100.0
92,Original,41.67
85,Original,44.44
38,Original,66.67
100,Original,33.33
39,Original,84.85
71,Original,100.0
102,Original,96.0
5,Original,100.0
96,Original,28.57
94,Original,0.0
81,Original,80.56
44,Original,71.43
99,Original,84.21
26,Original,90.91
73,Original,97.96
17,Original,88.46
9,Original,33.33
13,Original,75.0
33,Original,83.33
4,Original,77.78
84,Original,25.0
18,Original,60.0
14,Original,33.33
8,Original,0.0
80,Original,100.0
10,Original,69.23
101,Original,100.0
95,Original,0.0
