class,filters,error
86,fognight,58.99
48,fognight,75.62
66,fognight,62.31
68,fognight,77.78
19,fognight,70.75
11,fognight,60.0
90,fognight,84.79
31,fognight,86.67
16,fognight,80.95
51,fognight,76.54
30,fognight,92.58
50,fognight,74.15
83,fognight,69.23
57,fognight,74.49
2,fognight,44.44
55,fognight,64.07
46,fognight,84.71
69,fognight,72.73
77,fognight,68.12
87,fognight,48.73
20,fognight,88.31
91,fognight,64.41
52,fognight,82.02
32,fognight,83.43
60,fognight,66.67
12,fognight,63.27
23,fognight,84.62
15,fognight,79.75
45,fognight,93.21
28,fognight,65.62
70,fognight,74.14
0,fognight,82.11
102,fognight,64.0
67,fognight,88.89
63,fognight,68.44
53,fognight,66.39
1,fognight,72.73
93,fognight,5.17
73,fognight,91.84
88,fognight,25.0
35,fognight,68.57
96,fognight,0.0
4,fognight,55.56
36,fognight,94.81
43,fognight,75.93
21,fognight,65.59
78,fognight,80.2
29,fognight,49.12
42,fognight,78.21
41,fognight,86.6
92,fognight,8.33
39,fognight,63.64
74,fognight,76.7
81,fognight,63.89
64,fognight,27.27
72,fognight,82.56
97,fognight,63.49
6,fognight,70.0
76,fognight,44.44
47,fognight,40.74
79,fognight,87.38
10,fognight,61.54
26,fognight,77.27
56,fognight,25.0
17,fognight,32.69
59,fognight,40.74
101,fognight,80.0
75,fognight,80.39
22,fognight,78.46
84,fognight,0.0
49,fognight,62.5
3,fognight,28.57
62,fognight,72.73
7,fognight,42.5
40,fognight,63.83
37,fognight,55.4
25,fognight,47.62
99,fognight,78.95
94,fognight,0.0
14,fognight,33.33
27,fognight,0.0
82,fognight,85.71
61,fognight,76.79
65,fognight,22.22
38,fognight,66.67
33,fognight,77.78
44,fognight,57.14
24,fognight,40.0
85,fognight,0.0
34,fognight,90.48
58,fognight,66.67
71,fognight,66.67
9,fognight,33.33
18,fognight,20.0
13,fognight,0.0
5,fognight,71.43
100,fognight,33.33
95,fognight,0.0
54,fognight,12.5
89,fognight,0.0
98,fognight,33.33
80,fognight,66.67
8,fognight,0.0
