class,filters,error
48,fograin,73.77
37,fograin,74.1
79,fograin,77.67
52,fograin,82.44
90,fograin,95.63
58,fograin,50.0
21,fograin,69.89
30,fograin,93.74
28,fograin,83.59
17,fograin,48.08
51,fograin,74.9
57,fograin,71.43
50,fograin,71.98
53,fograin,70.59
16,fograin,85.71
23,fograin,84.92
43,fograin,83.33
3,fograin,47.62
49,fograin,80.36
77,fograin,77.54
78,fograin,90.86
55,fograin,74.46
20,fograin,87.45
41,fograin,85.57
46,fograin,94.51
0,fograin,85.37
36,fograin,92.21
22,fograin,75.38
45,fograin,94.72
66,fograin,75.38
63,fograin,86.67
97,fograin,71.43
11,fograin,60.0
32,fograin,88.2
60,fograin,71.43
35,fograin,65.71
12,fograin,71.43
74,fograin,84.95
86,fograin,80.34
2,fograin,66.67
19,fograin,65.09
15,fograin,80.38
75,fograin,86.27
54,fograin,25.0
26,fograin,59.09
68,fograin,61.11
81,fograin,80.56
40,fograin,72.34
102,fograin,64.0
91,fograin,69.49
5,fograin,14.29
31,fograin,87.78
83,fograin,80.77
7,fograin,50.0
71,fograin,79.17
39,fograin,54.55
6,fograin,56.67
64,fograin,18.18
82,fograin,71.43
62,fograin,48.48
61,fograin,75.0
1,fograin,65.91
85,fograin,0.0
34,fograin,95.24
67,fograin,96.11
87,fograin,62.03
24,fograin,35.0
73,fograin,97.96
47,fograin,22.22
99,fograin,57.89
93,fograin,25.86
70,fograin,96.55
25,fograin,28.57
72,fograin,86.05
10,fograin,61.54
88,fograin,53.57
33,fograin,77.78
14,fograin,0.0
29,fograin,40.35
42,fograin,75.64
69,fograin,45.45
92,fograin,33.33
27,fograin,0.0
84,fograin,0.0
59,fograin,40.74
96,fograin,0.0
76,fograin,66.67
8,fograin,0.0
65,fograin,44.44
101,fograin,100.0
4,fograin,44.44
56,fograin,25.0
89,fograin,12.5
95,fograin,0.0
38,fograin,55.56
13,fograin,0.0
100,fograin,50.0
9,fograin,33.33
98,fograin,66.67
18,fograin,0.0
44,fograin,57.14
94,fograin,0.0
80,fograin,33.33
