class,filters,error
90,fogsnow,94.01
55,fogsnow,77.92
53,fogsnow,74.37
2,fogsnow,59.26
28,fogsnow,80.08
36,fogsnow,92.86
32,fogsnow,89.33
31,fogsnow,85.56
50,fogsnow,75.36
48,fogsnow,76.85
52,fogsnow,85.95
16,fogsnow,86.08
20,fogsnow,88.31
86,fogsnow,83.15
67,fogsnow,93.89
43,fogsnow,77.78
23,fogsnow,91.38
79,fogsnow,71.84
29,fogsnow,24.56
30,fogsnow,93.27
49,fogsnow,76.79
75,fogsnow,86.27
58,fogsnow,41.67
1,fogsnow,70.45
46,fogsnow,93.33
73,fogsnow,95.92
57,fogsnow,72.45
6,fogsnow,58.33
40,fogsnow,68.09
45,fogsnow,93.96
69,fogsnow,45.45
64,fogsnow,18.18
87,fogsnow,60.76
41,fogsnow,88.66
78,fogsnow,91.88
37,fogsnow,69.06
63,fogsnow,84.44
62,fogsnow,42.42
72,fogsnow,80.23
25,fogsnow,33.33
65,fogsnow,55.56
74,fogsnow,85.92
66,fogsnow,72.31
71,fogsnow,83.33
91,fogsnow,62.71
51,fogsnow,69.55
68,fogsnow,69.44
60,fogsnow,73.02
19,fogsnow,70.75
0,fogsnow,85.37
15,fogsnow,83.54
77,fogsnow,73.19
12,fogsnow,71.43
96,fogsnow,0.0
97,fogsnow,66.67
17,fogsnow,48.08
22,fogsnow,76.92
47,fogsnow,51.85
93,fogsnow,22.41
61,fogsnow,71.43
27,fogsnow,0.0
99,fogsnow,68.42
26,fogsnow,45.45
42,fogsnow,79.49
11,fogsnow,64.44
70,fogsnow,93.1
21,fogsnow,62.37
34,fogsnow,90.48
56,fogsnow,33.33
83,fogsnow,87.18
35,fogsnow,82.86
10,fogsnow,46.15
39,fogsnow,63.64
76,fogsnow,66.67
88,fogsnow,57.14
54,fogsnow,25.0
7,fogsnow,47.5
92,fogsnow,33.33
3,fogsnow,42.86
100,fogsnow,33.33
81,fogsnow,77.78
101,fogsnow,80.0
44,fogsnow,57.14
85,fogsnow,0.0
5,fogsnow,14.29
18,fogsnow,0.0
24,fogsnow,30.0
4,fogsnow,22.22
95,fogsnow,0.0
102,fogsnow,60.0
8,fogsnow,0.0
80,fogsnow,66.67
38,fogsnow,66.67
13,fogsnow,25.0
59,fogsnow,48.15
9,fogsnow,33.33
14,fogsnow,0.0
82,fogsnow,85.71
33,fogsnow,66.67
89,fogsnow,25.0
98,fogsnow,0.0
94,fogsnow,33.33
84,fogsnow,0.0
