class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
0,93.5,93.5,92.68,82.11,78.86,86.18,78.86,77.24,80.49,78.86,80.49,81.3,91.06,91.87,93.5,91.87,91.06,92.68,123
1,90.91,93.18,90.91,72.73,65.91,59.09,63.64,63.64,54.55,70.45,63.64,63.64,90.91,90.91,86.36,88.64,90.91,88.64,44
2,92.59,81.48,92.59,44.44,48.15,59.26,55.56,42.59,55.56,64.81,48.15,61.11,81.48,79.63,83.33,85.19,75.93,83.33,54
3,80.95,76.19,61.9,28.57,33.33,47.62,38.1,42.86,42.86,42.86,47.62,38.1,71.43,66.67,66.67,71.43,57.14,61.9,21
4,77.78,66.67,77.78,55.56,33.33,11.11,66.67,55.56,44.44,11.11,55.56,66.67,66.67,66.67,77.78,88.89,66.67,66.67,9
5,85.71,42.86,100.0,71.43,57.14,85.71,57.14,42.86,71.43,71.43,42.86,85.71,100.0,42.86,100.0,85.71,57.14,100.0,7
6,88.33,86.67,86.67,70.0,71.67,70.0,66.67,66.67,73.33,66.67,80.0,70.0,86.67,85.0,86.67,88.33,88.33,85.0,60
7,67.5,82.5,80.0,42.5,20.0,35.0,30.0,52.5,47.5,55.0,45.0,42.5,50.0,72.5,60.0,45.0,72.5,67.5,40
8,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,66.67,33.33,0.0,0.0,33.33,0.0,3
9,33.33,33.33,33.33,33.33,33.33,33.33,0.0,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,84.62,92.31,69.23,61.54,46.15,76.92,69.23,69.23,69.23,53.85,69.23,69.23,84.62,84.62,69.23,84.62,84.62,69.23,13
11,91.11,80.0,91.11,60.0,40.0,51.11,66.67,42.22,51.11,66.67,55.56,57.78,91.11,71.11,82.22,88.89,75.56,82.22,45
12,87.76,91.84,92.86,63.27,67.35,67.35,63.27,68.37,65.31,67.35,67.35,62.24,85.71,86.73,90.82,83.67,86.73,87.76,98
13,50.0,25.0,75.0,0.0,0.0,0.0,50.0,0.0,25.0,0.0,0.0,25.0,25.0,50.0,50.0,50.0,25.0,75.0,4
14,33.33,0.0,33.33,33.33,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,33.33,33.33,0.0,33.33,3
15,94.3,91.14,90.51,79.75,80.38,76.58,81.65,75.32,79.75,75.95,77.85,79.11,94.94,91.14,87.34,93.67,88.61,87.34,158
16,92.31,93.77,91.58,80.95,84.62,84.98,82.78,82.05,83.88,78.39,82.42,84.25,91.21,91.21,92.31,90.48,90.84,92.31,273
17,86.54,78.85,88.46,32.69,46.15,61.54,50.0,36.54,51.92,38.46,40.38,50.0,86.54,73.08,82.69,86.54,76.92,86.54,52
18,80.0,80.0,60.0,20.0,40.0,20.0,60.0,20.0,0.0,40.0,60.0,0.0,60.0,60.0,60.0,80.0,80.0,60.0,5
19,88.68,91.51,90.57,70.75,74.53,79.25,76.42,78.3,72.64,79.25,76.42,79.25,90.57,91.51,89.62,93.4,91.51,89.62,106
20,96.54,96.97,96.54,88.31,87.01,83.98,88.31,88.31,90.48,89.18,92.21,89.18,96.54,96.1,93.07,94.81,95.24,93.94,231
21,94.62,91.4,91.4,65.59,62.37,62.37,75.27,68.82,70.97,68.82,68.82,69.89,89.25,83.87,84.95,93.55,84.95,88.17,93
22,81.54,80.0,84.62,78.46,75.38,80.0,81.54,78.46,81.54,81.54,80.0,78.46,81.54,78.46,84.62,81.54,80.0,84.62,65
23,95.69,96.0,96.0,84.62,83.08,88.31,83.69,85.85,87.38,85.23,87.38,87.38,95.38,96.0,96.0,94.15,95.69,96.31,325
24,65.0,55.0,65.0,40.0,35.0,20.0,45.0,40.0,45.0,30.0,35.0,20.0,65.0,50.0,55.0,60.0,55.0,65.0,20
25,76.19,76.19,66.67,47.62,28.57,38.1,42.86,38.1,47.62,47.62,57.14,33.33,71.43,71.43,66.67,71.43,61.9,71.43,21
26,81.82,95.45,90.91,77.27,72.73,50.0,59.09,72.73,63.64,59.09,54.55,63.64,90.91,95.45,86.36,86.36,95.45,90.91,22
