class,filters,error
61,rainnight,87.5
63,rainnight,89.33
0,rainnight,95.93
60,rainnight,80.95
30,rainnight,98.38
3,rainnight,66.67
57,rainnight,86.73
66,rainnight,74.62
41,rainnight,93.81
93,rainnight,46.55
12,rainnight,88.78
51,rainnight,92.59
52,rainnight,95.04
90,rainnight,96.12
55,rainnight,94.37
48,rainnight,90.12
42,rainnight,93.59
76,rainnight,77.78
53,rainnight,85.29
50,rainnight,92.51
77,rainnight,86.96
68,rainnight,94.44
21,rainnight,88.17
15,rainnight,91.14
78,rainnight,97.97
1,rainnight,88.64
37,rainnight,94.96
16,rainnight,90.84
31,rainnight,93.33
46,rainnight,96.47
23,rainnight,95.69
79,rainnight,95.15
28,rainnight,92.58
20,rainnight,95.67
25,rainnight,85.71
91,rainnight,88.14
32,rainnight,94.66
72,rainnight,96.51
97,rainnight,65.08
7,rainnight,72.5
19,rainnight,94.34
70,rainnight,100.0
45,rainnight,98.49
86,rainnight,83.71
58,rainnight,66.67
75,rainnight,90.2
39,rainnight,81.82
62,rainnight,84.85
17,rainnight,76.92
74,rainnight,92.23
83,rainnight,98.72
11,rainnight,93.33
29,rainnight,78.95
43,rainnight,94.44
33,rainnight,83.33
87,rainnight,86.71
67,rainnight,99.44
59,rainnight,100.0
99,rainnight,78.95
36,rainnight,99.35
34,rainnight,100.0
69,rainnight,81.82
102,rainnight,92.0
6,rainnight,88.33
22,rainnight,83.08
81,rainnight,88.89
27,rainnight,0.0
40,rainnight,78.72
54,rainnight,37.5
49,rainnight,85.71
26,rainnight,86.36
8,rainnight,33.33
82,rainnight,71.43
96,rainnight,14.29
47,rainnight,77.78
18,rainnight,0.0
2,rainnight,66.67
4,rainnight,66.67
89,rainnight,87.5
94,rainnight,0.0
100,rainnight,16.67
35,rainnight,82.86
65,rainnight,66.67
85,rainnight,11.11
5,rainnight,57.14
73,rainnight,91.84
10,rainnight,84.62
56,rainnight,50.0
24,rainnight,60.0
101,rainnight,80.0
14,rainnight,33.33
9,rainnight,33.33
71,rainnight,91.67
38,rainnight,88.89
88,rainnight,82.14
95,rainnight,0.0
13,rainnight,75.0
44,rainnight,85.71
92,rainnight,25.0
64,rainnight,27.27
84,rainnight,0.0
80,rainnight,100.0
98,rainnight,66.67
