class,filters,error
48,snownight,91.67
74,snownight,92.23
90,snownight,95.95
42,snownight,92.31
57,snownight,88.27
51,snownight,92.59
20,snownight,93.94
11,snownight,82.22
30,snownight,96.75
52,snownight,93.6
46,snownight,96.47
15,snownight,87.34
37,snownight,94.96
22,snownight,84.62
50,snownight,90.82
19,snownight,89.62
58,snownight,75.0
79,snownight,94.17
55,snownight,88.31
53,snownight,83.61
98,snownight,33.33
76,snownight,83.33
35,snownight,91.43
32,snownight,95.22
23,snownight,96.31
86,snownight,90.45
70,snownight,100.0
61,snownight,94.64
47,snownight,74.07
21,snownight,88.17
34,snownight,100.0
28,snownight,96.48
66,snownight,79.23
67,snownight,96.67
93,snownight,48.28
36,snownight,99.35
24,snownight,65.0
88,snownight,82.14
82,snownight,71.43
45,snownight,96.98
77,snownight,86.23
29,snownight,68.42
27,snownight,0.0
72,snownight,95.35
54,snownight,25.0
0,snownight,92.68
78,snownight,96.95
41,snownight,95.88
91,snownight,91.53
12,snownight,87.76
2,snownight,83.33
83,snownight,91.03
60,snownight,90.48
97,snownight,84.13
31,snownight,90.56
16,snownight,92.31
7,snownight,67.5
65,snownight,77.78
25,snownight,71.43
3,snownight,61.9
1,snownight,88.64
49,snownight,83.93
68,snownight,88.89
6,snownight,85.0
63,snownight,87.11
56,snownight,50.0
43,snownight,92.59
69,snownight,72.73
62,snownight,78.79
40,snownight,74.47
75,snownight,94.12
87,snownight,87.34
64,snownight,54.55
89,snownight,37.5
59,snownight,88.89
92,snownight,58.33
85,snownight,44.44
38,snownight,55.56
100,snownight,66.67
39,snownight,87.88
71,snownight,100.0
102,snownight,96.0
5,snownight,100.0
96,snownight,42.86
94,snownight,0.0
81,snownight,83.33
44,snownight,71.43
99,snownight,78.95
26,snownight,90.91
73,snownight,93.88
17,snownight,86.54
9,snownight,33.33
13,snownight,75.0
33,snownight,83.33
4,snownight,66.67
84,snownight,25.0
18,snownight,60.0
14,snownight,33.33
8,snownight,0.0
80,snownight,100.0
10,snownight,69.23
101,snownight,100.0
95,snownight,0.0
