class,filters,error
31,Original,100.0
74,Original,100.0
61,Original,100.0
23,Original,100.0
72,Original,100.0
28,Original,100.0
90,Original,100.0
55,Original,75.0
48,Original,100.0
0,Original,100.0
22,Original,100.0
19,Original,100.0
50,Original,100.0
52,Original,100.0
36,Original,100.0
75,Original,100.0
66,Original,100.0
53,Original,75.0
63,Original,100.0
30,Original,100.0
2,Original,100.0
15,Original,100.0
32,Original,85.71
51,Original,100.0
20,Original,100.0
87,Original,66.67
43,Original,100.0
78,Original,100.0
49,Original,100.0
97,Original,0.0
17,Original,100.0
45,Original,100.0
46,Original,100.0
79,Original,100.0
57,Original,100.0
83,Original,100.0
16,Original,80.0
37,Original,100.0
86,Original,66.67
29,Original,100.0
77,Original,100.0
67,Original,100.0
60,Original,100.0
42,Original,100.0
70,Original,100.0
21,Original,100.0
93,Original,0.0
12,Original,100.0
6,Original,100.0
41,Original,100.0
91,Original,100.0
1,Original,0
10,Original,0
100,Original,0
101,Original,0
102,Original,0
11,Original,0
13,Original,0
14,Original,0
18,Original,0
24,Original,0
25,Original,0
26,Original,0
27,Original,0
3,Original,0
33,Original,0
34,Original,0
35,Original,0
38,Original,0
39,Original,0
4,Original,0
40,Original,0
44,Original,0
47,Original,0
5,Original,0
54,Original,0
56,Original,0
58,Original,0
59,Original,0
62,Original,0
64,Original,0
65,Original,0
68,Original,0
69,Original,0
7,Original,0
71,Original,0
73,Original,0
76,Original,0
8,Original,0
80,Original,0
81,Original,0
82,Original,0
84,Original,0
85,Original,0
88,Original,0
89,Original,0
9,Original,0
92,Original,0
94,Original,0
95,Original,0
96,Original,0
98,Original,0
99,Original,0
