class,filters,error
46,fogheavy,0.0
72,fogheavy,0.0
50,fogheavy,12.5
52,fogheavy,11.11
30,fogheavy,25.0
16,fogheavy,20.0
0,fogheavy,0.0
49,fogheavy,0.0
32,fogheavy,14.29
28,fogheavy,40.0
74,fogheavy,0.0
90,fogheavy,0.0
57,fogheavy,0.0
45,fogheavy,0.0
53,fogheavy,25.0
67,fogheavy,0.0
48,fogheavy,0.0
63,fogheavy,0.0
41,fogheavy,0.0
91,fogheavy,0.0
87,fogheavy,0.0
22,fogheavy,0.0
20,fogheavy,0.0
79,fogheavy,0.0
23,fogheavy,33.33
61,fogheavy,0.0
19,fogheavy,0.0
51,fogheavy,0.0
66,fogheavy,0.0
55,fogheavy,0.0
36,fogheavy,0.0
70,fogheavy,0.0
31,fogheavy,33.33
86,fogheavy,0.0
60,fogheavy,0.0
77,fogheavy,0.0
21,fogheavy,0.0
37,fogheavy,50.0
97,fogheavy,0.0
2,fogheavy,0.0
15,fogheavy,0.0
42,fogheavy,0.0
17,fogheavy,0.0
6,fogheavy,0.0
78,fogheavy,0.0
43,fogheavy,0.0
12,fogheavy,0.0
93,fogheavy,0.0
75,fogheavy,0.0
29,fogheavy,0.0
83,fogheavy,0.0
1,fogheavy,0
10,fogheavy,0
100,fogheavy,0
101,fogheavy,0
102,fogheavy,0
11,fogheavy,0
13,fogheavy,0
14,fogheavy,0
18,fogheavy,0
24,fogheavy,0
25,fogheavy,0
26,fogheavy,0
27,fogheavy,0
3,fogheavy,0
33,fogheavy,0
34,fogheavy,0
35,fogheavy,0
38,fogheavy,0
39,fogheavy,0
4,fogheavy,0
40,fogheavy,0
44,fogheavy,0
47,fogheavy,0
5,fogheavy,0
54,fogheavy,0
56,fogheavy,0
58,fogheavy,0
59,fogheavy,0
62,fogheavy,0
64,fogheavy,0
65,fogheavy,0
68,fogheavy,0
69,fogheavy,0
7,fogheavy,0
71,fogheavy,0
73,fogheavy,0
76,fogheavy,0
8,fogheavy,0
80,fogheavy,0
81,fogheavy,0
82,fogheavy,0
84,fogheavy,0
85,fogheavy,0
88,fogheavy,0
89,fogheavy,0
9,fogheavy,0
92,fogheavy,0
94,fogheavy,0
95,fogheavy,0
96,fogheavy,0
98,fogheavy,0
99,fogheavy,0
