class,filters,error
42,fogmedium,100.0
2,fogmedium,0.0
74,fogmedium,100.0
48,fogmedium,50.0
67,fogmedium,66.67
57,fogmedium,100.0
97,fogmedium,0.0
30,fogmedium,100.0
46,fogmedium,100.0
28,fogmedium,20.0
87,fogmedium,100.0
78,fogmedium,33.33
41,fogmedium,100.0
32,fogmedium,71.43
90,fogmedium,91.67
61,fogmedium,100.0
52,fogmedium,88.89
45,fogmedium,100.0
63,fogmedium,75.0
0,fogmedium,50.0
86,fogmedium,100.0
51,fogmedium,25.0
50,fogmedium,100.0
49,fogmedium,0.0
23,fogmedium,83.33
77,fogmedium,50.0
31,fogmedium,100.0
19,fogmedium,100.0
60,fogmedium,100.0
16,fogmedium,80.0
66,fogmedium,100.0
36,fogmedium,100.0
43,fogmedium,0.0
70,fogmedium,100.0
79,fogmedium,100.0
15,fogmedium,66.67
6,fogmedium,0.0
12,fogmedium,100.0
20,fogmedium,100.0
37,fogmedium,50.0
53,fogmedium,50.0
55,fogmedium,50.0
21,fogmedium,100.0
22,fogmedium,100.0
93,fogmedium,0.0
83,fogmedium,100.0
75,fogmedium,100.0
17,fogmedium,0.0
29,fogmedium,100.0
91,fogmedium,100.0
72,fogmedium,100.0
1,fogmedium,0
10,fogmedium,0
100,fogmedium,0
101,fogmedium,0
102,fogmedium,0
11,fogmedium,0
13,fogmedium,0
14,fogmedium,0
18,fogmedium,0
24,fogmedium,0
25,fogmedium,0
26,fogmedium,0
27,fogmedium,0
3,fogmedium,0
33,fogmedium,0
34,fogmedium,0
35,fogmedium,0
38,fogmedium,0
39,fogmedium,0
4,fogmedium,0
40,fogmedium,0
44,fogmedium,0
47,fogmedium,0
5,fogmedium,0
54,fogmedium,0
56,fogmedium,0
58,fogmedium,0
59,fogmedium,0
62,fogmedium,0
64,fogmedium,0
65,fogmedium,0
68,fogmedium,0
69,fogmedium,0
7,fogmedium,0
71,fogmedium,0
73,fogmedium,0
76,fogmedium,0
8,fogmedium,0
80,fogmedium,0
81,fogmedium,0
82,fogmedium,0
84,fogmedium,0
85,fogmedium,0
88,fogmedium,0
89,fogmedium,0
9,fogmedium,0
92,fogmedium,0
94,fogmedium,0
95,fogmedium,0
96,fogmedium,0
98,fogmedium,0
99,fogmedium,0
