filter,class,predicted_class
Original,31,31
nightheavy,31,31
Original,74,74
nightheavy,74,74
Original,61,61
nightheavy,61,61
Original,23,23
nightheavy,23,23
Original,72,72
nightheavy,72,72
Original,28,28
nightheavy,28,28
Original,74,74
nightheavy,74,74
Original,90,90
nightheavy,90,90
Original,55,55
nightheavy,55,55
Original,90,90
nightheavy,90,90
Original,48,48
nightheavy,48,48
Original,0,0
nightheavy,0,0
Original,0,0
nightheavy,0,0
Original,22,22
nightheavy,22,22
Original,19,19
nightheavy,19,19
Original,50,50
nightheavy,50,50
Original,90,90
nightheavy,90,90
Original,50,50
nightheavy,50,50
Original,52,52
nightheavy,52,52
Original,36,36
nightheavy,36,36
Original,75,67
nightheavy,75,75
Original,31,31
nightheavy,31,31
Original,66,66
nightheavy,66,66
Original,53,53
nightheavy,53,53
Original,28,28
nightheavy,28,28
Original,63,63
nightheavy,63,63
Original,30,30
nightheavy,30,30
Original,2,2
nightheavy,2,2
Original,90,90
nightheavy,90,90
Original,15,15
nightheavy,15,15
Original,32,32
nightheavy,32,32
Original,51,51
nightheavy,51,51
Original,53,50
nightheavy,53,45
Original,50,50
nightheavy,50,50
Original,20,20
nightheavy,20,20
Original,32,32
nightheavy,32,32
Original,87,87
nightheavy,87,62
Original,90,90
nightheavy,90,90
Original,90,90
nightheavy,90,90
Original,51,51
nightheavy,51,51
Original,43,43
nightheavy,43,43
Original,78,78
nightheavy,78,78
Original,30,30
nightheavy,30,30
Original,49,49
nightheavy,49,49
Original,97,45
nightheavy,97,45
Original,15,15
nightheavy,15,15
Original,17,17
nightheavy,17,17
Original,48,48
nightheavy,48,48
Original,45,45
nightheavy,45,45
Original,66,66
nightheavy,66,66
Original,46,46
nightheavy,46,46
Original,53,53
nightheavy,53,53
Original,48,48
nightheavy,48,48
Original,46,46
nightheavy,46,46
Original,50,50
nightheavy,50,50
Original,79,79
nightheavy,79,79
Original,32,32
nightheavy,32,32
Original,50,50
nightheavy,50,50
Original,30,30
nightheavy,30,30
Original,55,55
nightheavy,55,55
Original,57,57
nightheavy,57,57
Original,45,45
nightheavy,45,45
Original,83,83
nightheavy,83,83
Original,50,51
nightheavy,50,50
Original,52,52
nightheavy,52,52
Original,15,15
nightheavy,15,15
Original,52,52
nightheavy,52,55
Original,23,23
nightheavy,23,23
Original,52,52
nightheavy,52,52
Original,16,0
nightheavy,16,0
Original,16,16
nightheavy,16,16
Original,37,37
nightheavy,37,37
Original,36,36
nightheavy,36,36
Original,53,53
nightheavy,53,53
Original,86,86
nightheavy,86,97
Original,29,29
nightheavy,29,29
Original,32,32
nightheavy,32,32
Original,20,20
nightheavy,20,20
Original,31,31
nightheavy,31,31
Original,90,90
nightheavy,90,90
Original,77,77
nightheavy,77,77
Original,46,46
nightheavy,46,46
Original,30,30
nightheavy,30,30
Original,30,30
nightheavy,30,30
Original,30,30
nightheavy,30,30
Original,52,52
nightheavy,52,52
Original,23,23
nightheavy,23,23
Original,30,30
nightheavy,30,30
Original,51,51
nightheavy,51,51
Original,23,23
nightheavy,23,23
Original,28,28
nightheavy,28,28
Original,87,87
nightheavy,87,87
Original,16,16
nightheavy,16,16
Original,78,78
nightheavy,78,78
Original,52,52
nightheavy,52,52
Original,48,48
nightheavy,48,48
Original,90,90
nightheavy,90,90
Original,37,37
nightheavy,37,37
Original,67,67
nightheavy,67,67
Original,32,37
nightheavy,32,37
Original,86,31
nightheavy,86,31
Original,55,55
nightheavy,55,55
Original,60,60
nightheavy,60,60
Original,57,57
nightheavy,57,57
Original,45,45
nightheavy,45,45
Original,52,52
nightheavy,52,48
Original,63,63
nightheavy,63,63
Original,16,16
nightheavy,16,16
Original,74,74
nightheavy,74,74
Original,42,42
nightheavy,42,42
Original,32,32
nightheavy,32,32
Original,70,70
nightheavy,70,70
Original,57,57
nightheavy,57,57
Original,90,90
nightheavy,90,90
Original,20,20
nightheavy,20,20
Original,77,40
nightheavy,77,40
Original,50,50
nightheavy,50,50
Original,21,21
nightheavy,21,21
Original,63,63
nightheavy,63,66
Original,36,36
nightheavy,36,36
Original,16,16
nightheavy,16,16
Original,93,66
nightheavy,93,71
Original,19,19
nightheavy,19,19
Original,48,48
nightheavy,48,48
Original,52,52
nightheavy,52,52
Original,12,12
nightheavy,12,12
Original,6,6
nightheavy,6,6
Original,28,28
nightheavy,28,28
Original,23,23
nightheavy,23,23
Original,90,90
nightheavy,90,90
Original,46,46
nightheavy,46,46
Original,32,32
nightheavy,32,32
Original,51,51
nightheavy,51,51
Original,87,87
nightheavy,87,87
Original,86,86
nightheavy,86,86
Original,67,67
nightheavy,67,67
Original,46,46
nightheavy,46,46
Original,41,41
nightheavy,41,41
Original,50,50
nightheavy,50,50
Original,30,30
nightheavy,30,30
Original,23,23
nightheavy,23,23
Original,78,78
nightheavy,78,78
Original,90,90
nightheavy,90,90
Original,52,52
nightheavy,52,52
Original,20,20
nightheavy,20,20
Original,45,45
nightheavy,45,45
Original,63,63
nightheavy,63,91
Original,74,74
nightheavy,74,74
Original,79,79
nightheavy,79,79
Original,45,45
nightheavy,45,45
Original,55,55
nightheavy,55,55
Original,91,91
nightheavy,91,91
Original,67,67
nightheavy,67,67
Original,48,48
nightheavy,48,48
Original,28,28
nightheavy,28,28
Original,90,90
nightheavy,90,90
