class,filters,error
74,nightmedium,100.0
32,nightmedium,100.0
90,nightmedium,91.67
20,nightmedium,100.0
66,nightmedium,100.0
2,nightmedium,100.0
28,nightmedium,100.0
45,nightmedium,100.0
60,nightmedium,100.0
30,nightmedium,100.0
29,nightmedium,100.0
51,nightmedium,100.0
86,nightmedium,66.67
77,nightmedium,100.0
43,nightmedium,100.0
48,nightmedium,100.0
23,nightmedium,100.0
91,nightmedium,0.0
15,nightmedium,100.0
46,nightmedium,100.0
83,nightmedium,100.0
55,nightmedium,100.0
16,nightmedium,80.0
36,nightmedium,100.0
79,nightmedium,50.0
53,nightmedium,75.0
50,nightmedium,87.5
67,nightmedium,100.0
78,nightmedium,100.0
52,nightmedium,100.0
0,nightmedium,100.0
75,nightmedium,100.0
70,nightmedium,100.0
31,nightmedium,100.0
17,nightmedium,100.0
87,nightmedium,33.33
12,nightmedium,100.0
21,nightmedium,100.0
42,nightmedium,100.0
63,nightmedium,100.0
19,nightmedium,100.0
72,nightmedium,100.0
41,nightmedium,100.0
57,nightmedium,100.0
22,nightmedium,100.0
93,nightmedium,0.0
37,nightmedium,100.0
6,nightmedium,100.0
97,nightmedium,0.0
61,nightmedium,100.0
49,nightmedium,100.0
1,nightmedium,0
10,nightmedium,0
100,nightmedium,0
101,nightmedium,0
102,nightmedium,0
11,nightmedium,0
13,nightmedium,0
14,nightmedium,0
18,nightmedium,0
24,nightmedium,0
25,nightmedium,0
26,nightmedium,0
27,nightmedium,0
3,nightmedium,0
33,nightmedium,0
34,nightmedium,0
35,nightmedium,0
38,nightmedium,0
39,nightmedium,0
4,nightmedium,0
40,nightmedium,0
44,nightmedium,0
47,nightmedium,0
5,nightmedium,0
54,nightmedium,0
56,nightmedium,0
58,nightmedium,0
59,nightmedium,0
62,nightmedium,0
64,nightmedium,0
65,nightmedium,0
68,nightmedium,0
69,nightmedium,0
7,nightmedium,0
71,nightmedium,0
73,nightmedium,0
76,nightmedium,0
8,nightmedium,0
80,nightmedium,0
81,nightmedium,0
82,nightmedium,0
84,nightmedium,0
85,nightmedium,0
88,nightmedium,0
89,nightmedium,0
9,nightmedium,0
92,nightmedium,0
94,nightmedium,0
95,nightmedium,0
96,nightmedium,0
98,nightmedium,0
99,nightmedium,0
