class,filters,error
53,nightmild,75.0
93,nightmild,0.0
50,nightmild,87.5
28,nightmild,100.0
79,nightmild,100.0
90,nightmild,100.0
48,nightmild,100.0
57,nightmild,100.0
63,nightmild,100.0
74,nightmild,100.0
60,nightmild,100.0
45,nightmild,100.0
46,nightmild,100.0
87,nightmild,33.33
15,nightmild,100.0
30,nightmild,100.0
0,nightmild,100.0
32,nightmild,100.0
86,nightmild,66.67
52,nightmild,100.0
16,nightmild,80.0
51,nightmild,100.0
97,nightmild,0.0
61,nightmild,100.0
23,nightmild,100.0
37,nightmild,100.0
77,nightmild,100.0
12,nightmild,100.0
75,nightmild,100.0
91,nightmild,0.0
2,nightmild,100.0
6,nightmild,100.0
31,nightmild,100.0
17,nightmild,100.0
41,nightmild,100.0
43,nightmild,100.0
55,nightmild,100.0
66,nightmild,100.0
78,nightmild,100.0
20,nightmild,100.0
49,nightmild,100.0
22,nightmild,100.0
36,nightmild,100.0
21,nightmild,100.0
70,nightmild,100.0
83,nightmild,100.0
42,nightmild,100.0
67,nightmild,100.0
19,nightmild,100.0
72,nightmild,100.0
29,nightmild,100.0
1,nightmild,0
10,nightmild,0
100,nightmild,0
101,nightmild,0
102,nightmild,0
11,nightmild,0
13,nightmild,0
14,nightmild,0
18,nightmild,0
24,nightmild,0
25,nightmild,0
26,nightmild,0
27,nightmild,0
3,nightmild,0
33,nightmild,0
34,nightmild,0
35,nightmild,0
38,nightmild,0
39,nightmild,0
4,nightmild,0
40,nightmild,0
44,nightmild,0
47,nightmild,0
5,nightmild,0
54,nightmild,0
56,nightmild,0
58,nightmild,0
59,nightmild,0
62,nightmild,0
64,nightmild,0
65,nightmild,0
68,nightmild,0
69,nightmild,0
7,nightmild,0
71,nightmild,0
73,nightmild,0
76,nightmild,0
8,nightmild,0
80,nightmild,0
81,nightmild,0
82,nightmild,0
84,nightmild,0
85,nightmild,0
88,nightmild,0
89,nightmild,0
9,nightmild,0
92,nightmild,0
94,nightmild,0
95,nightmild,0
96,nightmild,0
98,nightmild,0
99,nightmild,0
