class,filters,error
37,rainheavy,100.0
77,rainheavy,100.0
20,rainheavy,100.0
57,rainheavy,66.67
70,rainheavy,100.0
52,rainheavy,88.89
93,rainheavy,0.0
23,rainheavy,100.0
16,rainheavy,80.0
48,rainheavy,100.0
46,rainheavy,100.0
17,rainheavy,100.0
90,rainheavy,91.67
32,rainheavy,85.71
55,rainheavy,100.0
60,rainheavy,100.0
50,rainheavy,87.5
72,rainheavy,100.0
51,rainheavy,100.0
78,rainheavy,100.0
63,rainheavy,100.0
30,rainheavy,100.0
74,rainheavy,100.0
97,rainheavy,0.0
61,rainheavy,100.0
86,rainheavy,66.67
31,rainheavy,100.0
36,rainheavy,100.0
87,rainheavy,33.33
19,rainheavy,100.0
45,rainheavy,100.0
91,rainheavy,100.0
67,rainheavy,100.0
6,rainheavy,100.0
53,rainheavy,100.0
43,rainheavy,100.0
29,rainheavy,100.0
2,rainheavy,0.0
79,rainheavy,100.0
28,rainheavy,60.0
66,rainheavy,100.0
75,rainheavy,100.0
83,rainheavy,100.0
15,rainheavy,100.0
0,rainheavy,100.0
42,rainheavy,100.0
12,rainheavy,100.0
21,rainheavy,100.0
22,rainheavy,100.0
49,rainheavy,100.0
41,rainheavy,100.0
1,rainheavy,0
10,rainheavy,0
100,rainheavy,0
101,rainheavy,0
102,rainheavy,0
11,rainheavy,0
13,rainheavy,0
14,rainheavy,0
18,rainheavy,0
24,rainheavy,0
25,rainheavy,0
26,rainheavy,0
27,rainheavy,0
3,rainheavy,0
33,rainheavy,0
34,rainheavy,0
35,rainheavy,0
38,rainheavy,0
39,rainheavy,0
4,rainheavy,0
40,rainheavy,0
44,rainheavy,0
47,rainheavy,0
5,rainheavy,0
54,rainheavy,0
56,rainheavy,0
58,rainheavy,0
59,rainheavy,0
62,rainheavy,0
64,rainheavy,0
65,rainheavy,0
68,rainheavy,0
69,rainheavy,0
7,rainheavy,0
71,rainheavy,0
73,rainheavy,0
76,rainheavy,0
8,rainheavy,0
80,rainheavy,0
81,rainheavy,0
82,rainheavy,0
84,rainheavy,0
85,rainheavy,0
88,rainheavy,0
89,rainheavy,0
9,rainheavy,0
92,rainheavy,0
94,rainheavy,0
95,rainheavy,0
96,rainheavy,0
98,rainheavy,0
99,rainheavy,0
