class,filters,error
52,rainmedium,100.0
23,rainmedium,100.0
22,rainmedium,100.0
32,rainmedium,85.71
45,rainmedium,100.0
50,rainmedium,100.0
31,rainmedium,100.0
83,rainmedium,100.0
97,rainmedium,0.0
46,rainmedium,100.0
42,rainmedium,100.0
63,rainmedium,100.0
53,rainmedium,75.0
90,rainmedium,100.0
72,rainmedium,0.0
51,rainmedium,75.0
60,rainmedium,100.0
0,rainmedium,100.0
74,rainmedium,100.0
28,rainmedium,100.0
48,rainmedium,100.0
93,rainmedium,0.0
87,rainmedium,33.33
30,rainmedium,100.0
16,rainmedium,80.0
55,rainmedium,100.0
78,rainmedium,100.0
6,rainmedium,100.0
66,rainmedium,100.0
20,rainmedium,100.0
37,rainmedium,100.0
36,rainmedium,100.0
79,rainmedium,100.0
57,rainmedium,100.0
41,rainmedium,100.0
86,rainmedium,100.0
61,rainmedium,100.0
15,rainmedium,100.0
21,rainmedium,100.0
75,rainmedium,100.0
70,rainmedium,100.0
49,rainmedium,100.0
17,rainmedium,100.0
19,rainmedium,100.0
12,rainmedium,100.0
91,rainmedium,0.0
43,rainmedium,100.0
29,rainmedium,100.0
77,rainmedium,100.0
2,rainmedium,100.0
67,rainmedium,100.0
1,rainmedium,0
10,rainmedium,0
100,rainmedium,0
101,rainmedium,0
102,rainmedium,0
11,rainmedium,0
13,rainmedium,0
14,rainmedium,0
18,rainmedium,0
24,rainmedium,0
25,rainmedium,0
26,rainmedium,0
27,rainmedium,0
3,rainmedium,0
33,rainmedium,0
34,rainmedium,0
35,rainmedium,0
38,rainmedium,0
39,rainmedium,0
4,rainmedium,0
40,rainmedium,0
44,rainmedium,0
47,rainmedium,0
5,rainmedium,0
54,rainmedium,0
56,rainmedium,0
58,rainmedium,0
59,rainmedium,0
62,rainmedium,0
64,rainmedium,0
65,rainmedium,0
68,rainmedium,0
69,rainmedium,0
7,rainmedium,0
71,rainmedium,0
73,rainmedium,0
76,rainmedium,0
8,rainmedium,0
80,rainmedium,0
81,rainmedium,0
82,rainmedium,0
84,rainmedium,0
85,rainmedium,0
88,rainmedium,0
89,rainmedium,0
9,rainmedium,0
92,rainmedium,0
94,rainmedium,0
95,rainmedium,0
96,rainmedium,0
98,rainmedium,0
99,rainmedium,0
