class,filters,error
90,snowmild,75.0
30,snowmild,87.5
31,snowmild,66.67
20,snowmild,75.0
48,snowmild,66.67
55,snowmild,0.0
77,snowmild,0.0
50,snowmild,75.0
53,snowmild,25.0
23,snowmild,83.33
61,snowmild,0.0
28,snowmild,0.0
37,snowmild,0.0
46,snowmild,100.0
0,snowmild,50.0
93,snowmild,0.0
15,snowmild,66.67
57,snowmild,66.67
17,snowmild,0.0
32,snowmild,71.43
43,snowmild,100.0
52,snowmild,44.44
87,snowmild,0.0
83,snowmild,0.0
66,snowmild,50.0
41,snowmild,100.0
72,snowmild,0.0
42,snowmild,0.0
19,snowmild,50.0
36,snowmild,33.33
51,snowmild,0.0
21,snowmild,100.0
16,snowmild,40.0
86,snowmild,66.67
74,snowmild,75.0
29,snowmild,0.0
45,snowmild,80.0
91,snowmild,0.0
2,snowmild,100.0
67,snowmild,66.67
78,snowmild,0.0
22,snowmild,100.0
70,snowmild,100.0
60,snowmild,0.0
49,snowmild,0.0
6,snowmild,100.0
79,snowmild,50.0
97,snowmild,0.0
63,snowmild,75.0
12,snowmild,100.0
75,snowmild,100.0
1,snowmild,0
10,snowmild,0
100,snowmild,0
101,snowmild,0
102,snowmild,0
11,snowmild,0
13,snowmild,0
14,snowmild,0
18,snowmild,0
24,snowmild,0
25,snowmild,0
26,snowmild,0
27,snowmild,0
3,snowmild,0
33,snowmild,0
34,snowmild,0
35,snowmild,0
38,snowmild,0
39,snowmild,0
4,snowmild,0
40,snowmild,0
44,snowmild,0
47,snowmild,0
5,snowmild,0
54,snowmild,0
56,snowmild,0
58,snowmild,0
59,snowmild,0
62,snowmild,0
64,snowmild,0
65,snowmild,0
68,snowmild,0
69,snowmild,0
7,snowmild,0
71,snowmild,0
73,snowmild,0
76,snowmild,0
8,snowmild,0
80,snowmild,0
81,snowmild,0
82,snowmild,0
84,snowmild,0
85,snowmild,0
88,snowmild,0
89,snowmild,0
9,snowmild,0
92,snowmild,0
94,snowmild,0
95,snowmild,0
96,snowmild,0
98,snowmild,0
99,snowmild,0
