class,filters,error
23,fogmedium,100.0
87,fogmedium,66.67
78,fogmedium,100.0
17,fogmedium,0.0
28,fogmedium,100.0
50,fogmedium,62.5
20,fogmedium,75.0
30,fogmedium,100.0
53,fogmedium,75.0
67,fogmedium,100.0
97,fogmedium,100.0
32,fogmedium,100.0
83,fogmedium,100.0
86,fogmedium,100.0
55,fogmedium,75.0
52,fogmedium,100.0
46,fogmedium,100.0
0,fogmedium,100.0
90,fogmedium,100.0
77,fogmedium,50.0
49,fogmedium,100.0
51,fogmedium,100.0
57,fogmedium,33.33
63,fogmedium,75.0
15,fogmedium,100.0
48,fogmedium,100.0
43,fogmedium,100.0
42,fogmedium,100.0
16,fogmedium,100.0
79,fogmedium,100.0
45,fogmedium,100.0
37,fogmedium,100.0
75,fogmedium,100.0
36,fogmedium,100.0
29,fogmedium,100.0
21,fogmedium,100.0
66,fogmedium,50.0
74,fogmedium,100.0
31,fogmedium,100.0
22,fogmedium,0.0
93,fogmedium,100.0
19,fogmedium,50.0
12,fogmedium,100.0
2,fogmedium,100.0
60,fogmedium,100.0
72,fogmedium,100.0
61,fogmedium,100.0
6,fogmedium,0.0
70,fogmedium,100.0
91,fogmedium,0.0
41,fogmedium,100.0
1,fogmedium,0
10,fogmedium,0
100,fogmedium,0
101,fogmedium,0
102,fogmedium,0
11,fogmedium,0
13,fogmedium,0
14,fogmedium,0
18,fogmedium,0
24,fogmedium,0
25,fogmedium,0
26,fogmedium,0
27,fogmedium,0
3,fogmedium,0
33,fogmedium,0
34,fogmedium,0
35,fogmedium,0
38,fogmedium,0
39,fogmedium,0
4,fogmedium,0
40,fogmedium,0
44,fogmedium,0
47,fogmedium,0
5,fogmedium,0
54,fogmedium,0
56,fogmedium,0
58,fogmedium,0
59,fogmedium,0
62,fogmedium,0
64,fogmedium,0
65,fogmedium,0
68,fogmedium,0
69,fogmedium,0
7,fogmedium,0
71,fogmedium,0
73,fogmedium,0
76,fogmedium,0
8,fogmedium,0
80,fogmedium,0
81,fogmedium,0
82,fogmedium,0
84,fogmedium,0
85,fogmedium,0
88,fogmedium,0
89,fogmedium,0
9,fogmedium,0
92,fogmedium,0
94,fogmedium,0
95,fogmedium,0
96,fogmedium,0
98,fogmedium,0
99,fogmedium,0
