class,filters,error
90,nightheavy,100.0
51,nightheavy,100.0
78,nightheavy,100.0
15,nightheavy,100.0
75,nightheavy,100.0
86,nightheavy,100.0
30,nightheavy,100.0
63,nightheavy,75.0
32,nightheavy,100.0
74,nightheavy,100.0
46,nightheavy,80.0
42,nightheavy,100.0
23,nightheavy,100.0
52,nightheavy,100.0
87,nightheavy,100.0
83,nightheavy,100.0
28,nightheavy,100.0
91,nightheavy,0.0
16,nightheavy,100.0
45,nightheavy,100.0
77,nightheavy,50.0
49,nightheavy,100.0
21,nightheavy,100.0
17,nightheavy,0.0
61,nightheavy,100.0
20,nightheavy,75.0
50,nightheavy,100.0
79,nightheavy,100.0
36,nightheavy,100.0
53,nightheavy,100.0
70,nightheavy,100.0
48,nightheavy,83.33
97,nightheavy,100.0
6,nightheavy,100.0
37,nightheavy,100.0
55,nightheavy,100.0
66,nightheavy,50.0
31,nightheavy,100.0
57,nightheavy,100.0
29,nightheavy,100.0
19,nightheavy,100.0
22,nightheavy,100.0
0,nightheavy,100.0
60,nightheavy,100.0
93,nightheavy,100.0
41,nightheavy,100.0
43,nightheavy,100.0
12,nightheavy,100.0
72,nightheavy,100.0
2,nightheavy,0.0
67,nightheavy,100.0
1,nightheavy,0
10,nightheavy,0
100,nightheavy,0
101,nightheavy,0
102,nightheavy,0
11,nightheavy,0
13,nightheavy,0
14,nightheavy,0
18,nightheavy,0
24,nightheavy,0
25,nightheavy,0
26,nightheavy,0
27,nightheavy,0
3,nightheavy,0
33,nightheavy,0
34,nightheavy,0
35,nightheavy,0
38,nightheavy,0
39,nightheavy,0
4,nightheavy,0
40,nightheavy,0
44,nightheavy,0
47,nightheavy,0
5,nightheavy,0
54,nightheavy,0
56,nightheavy,0
58,nightheavy,0
59,nightheavy,0
62,nightheavy,0
64,nightheavy,0
65,nightheavy,0
68,nightheavy,0
69,nightheavy,0
7,nightheavy,0
71,nightheavy,0
73,nightheavy,0
76,nightheavy,0
8,nightheavy,0
80,nightheavy,0
81,nightheavy,0
82,nightheavy,0
84,nightheavy,0
85,nightheavy,0
88,nightheavy,0
89,nightheavy,0
9,nightheavy,0
92,nightheavy,0
94,nightheavy,0
95,nightheavy,0
96,nightheavy,0
98,nightheavy,0
99,nightheavy,0
