class,filters,error
63,rainmild,100.0
31,rainmild,100.0
51,rainmild,100.0
32,rainmild,100.0
52,rainmild,100.0
46,rainmild,80.0
16,rainmild,100.0
19,rainmild,100.0
77,rainmild,50.0
15,rainmild,100.0
45,rainmild,100.0
50,rainmild,100.0
28,rainmild,100.0
90,rainmild,100.0
57,rainmild,100.0
30,rainmild,100.0
2,rainmild,0.0
87,rainmild,100.0
53,rainmild,100.0
0,rainmild,100.0
83,rainmild,100.0
48,rainmild,100.0
74,rainmild,100.0
86,rainmild,100.0
23,rainmild,100.0
12,rainmild,100.0
67,rainmild,100.0
20,rainmild,75.0
36,rainmild,100.0
60,rainmild,100.0
78,rainmild,100.0
21,rainmild,100.0
37,rainmild,100.0
66,rainmild,50.0
42,rainmild,100.0
79,rainmild,100.0
70,rainmild,100.0
61,rainmild,100.0
97,rainmild,100.0
29,rainmild,100.0
75,rainmild,100.0
6,rainmild,100.0
22,rainmild,100.0
49,rainmild,100.0
17,rainmild,0.0
93,rainmild,100.0
55,rainmild,75.0
72,rainmild,100.0
91,rainmild,0.0
41,rainmild,100.0
43,rainmild,100.0
1,rainmild,0
10,rainmild,0
100,rainmild,0
101,rainmild,0
102,rainmild,0
11,rainmild,0
13,rainmild,0
14,rainmild,0
18,rainmild,0
24,rainmild,0
25,rainmild,0
26,rainmild,0
27,rainmild,0
3,rainmild,0
33,rainmild,0
34,rainmild,0
35,rainmild,0
38,rainmild,0
39,rainmild,0
4,rainmild,0
40,rainmild,0
44,rainmild,0
47,rainmild,0
5,rainmild,0
54,rainmild,0
56,rainmild,0
58,rainmild,0
59,rainmild,0
62,rainmild,0
64,rainmild,0
65,rainmild,0
68,rainmild,0
69,rainmild,0
7,rainmild,0
71,rainmild,0
73,rainmild,0
76,rainmild,0
8,rainmild,0
80,rainmild,0
81,rainmild,0
82,rainmild,0
84,rainmild,0
85,rainmild,0
88,rainmild,0
89,rainmild,0
9,rainmild,0
92,rainmild,0
94,rainmild,0
95,rainmild,0
96,rainmild,0
98,rainmild,0
99,rainmild,0
