class,filters,error
32,snowheavy,42.86
15,snowheavy,33.33
2,snowheavy,0.0
48,snowheavy,50.0
57,snowheavy,33.33
45,snowheavy,0.0
30,snowheavy,75.0
23,snowheavy,50.0
97,snowheavy,100.0
20,snowheavy,25.0
86,snowheavy,33.33
63,snowheavy,75.0
90,snowheavy,83.33
52,snowheavy,55.56
74,snowheavy,0.0
78,snowheavy,33.33
31,snowheavy,33.33
55,snowheavy,25.0
19,snowheavy,0.0
51,snowheavy,25.0
6,snowheavy,0.0
0,snowheavy,50.0
21,snowheavy,0.0
46,snowheavy,40.0
50,snowheavy,37.5
70,snowheavy,0.0
77,snowheavy,0.0
87,snowheavy,33.33
37,snowheavy,50.0
28,snowheavy,40.0
36,snowheavy,33.33
16,snowheavy,20.0
66,snowheavy,0.0
53,snowheavy,0.0
79,snowheavy,0.0
42,snowheavy,100.0
91,snowheavy,0.0
67,snowheavy,66.67
12,snowheavy,0.0
75,snowheavy,0.0
29,snowheavy,0.0
17,snowheavy,0.0
83,snowheavy,0.0
93,snowheavy,0.0
43,snowheavy,100.0
41,snowheavy,100.0
22,snowheavy,0.0
72,snowheavy,0.0
49,snowheavy,0.0
60,snowheavy,0.0
61,snowheavy,0.0
1,snowheavy,0
10,snowheavy,0
100,snowheavy,0
101,snowheavy,0
102,snowheavy,0
11,snowheavy,0
13,snowheavy,0
14,snowheavy,0
18,snowheavy,0
24,snowheavy,0
25,snowheavy,0
26,snowheavy,0
27,snowheavy,0
3,snowheavy,0
33,snowheavy,0
34,snowheavy,0
35,snowheavy,0
38,snowheavy,0
39,snowheavy,0
4,snowheavy,0
40,snowheavy,0
44,snowheavy,0
47,snowheavy,0
5,snowheavy,0
54,snowheavy,0
56,snowheavy,0
58,snowheavy,0
59,snowheavy,0
62,snowheavy,0
64,snowheavy,0
65,snowheavy,0
68,snowheavy,0
69,snowheavy,0
7,snowheavy,0
71,snowheavy,0
73,snowheavy,0
76,snowheavy,0
8,snowheavy,0
80,snowheavy,0
81,snowheavy,0
82,snowheavy,0
84,snowheavy,0
85,snowheavy,0
88,snowheavy,0
89,snowheavy,0
9,snowheavy,0
92,snowheavy,0
94,snowheavy,0
95,snowheavy,0
96,snowheavy,0
98,snowheavy,0
99,snowheavy,0
