class,filters,error
16,snowmedium,60.0
41,snowmedium,0.0
30,snowmedium,100.0
51,snowmedium,75.0
23,snowmedium,66.67
32,snowmedium,71.43
17,snowmedium,0.0
79,snowmedium,0.0
19,snowmedium,50.0
52,snowmedium,44.44
63,snowmedium,50.0
90,snowmedium,83.33
78,snowmedium,66.67
45,snowmedium,100.0
83,snowmedium,0.0
93,snowmedium,100.0
28,snowmedium,40.0
31,snowmedium,66.67
36,snowmedium,100.0
48,snowmedium,66.67
15,snowmedium,66.67
91,snowmedium,0.0
53,snowmedium,0.0
61,snowmedium,100.0
57,snowmedium,33.33
46,snowmedium,80.0
74,snowmedium,50.0
50,snowmedium,50.0
86,snowmedium,66.67
87,snowmedium,33.33
22,snowmedium,100.0
0,snowmedium,100.0
20,snowmedium,50.0
97,snowmedium,100.0
77,snowmedium,50.0
70,snowmedium,100.0
67,snowmedium,66.67
55,snowmedium,75.0
42,snowmedium,100.0
72,snowmedium,100.0
66,snowmedium,0.0
60,snowmedium,100.0
49,snowmedium,0.0
29,snowmedium,0.0
37,snowmedium,0.0
2,snowmedium,0.0
43,snowmedium,100.0
6,snowmedium,0.0
75,snowmedium,100.0
21,snowmedium,100.0
12,snowmedium,100.0
1,snowmedium,0
10,snowmedium,0
100,snowmedium,0
101,snowmedium,0
102,snowmedium,0
11,snowmedium,0
13,snowmedium,0
14,snowmedium,0
18,snowmedium,0
24,snowmedium,0
25,snowmedium,0
26,snowmedium,0
27,snowmedium,0
3,snowmedium,0
33,snowmedium,0
34,snowmedium,0
35,snowmedium,0
38,snowmedium,0
39,snowmedium,0
4,snowmedium,0
40,snowmedium,0
44,snowmedium,0
47,snowmedium,0
5,snowmedium,0
54,snowmedium,0
56,snowmedium,0
58,snowmedium,0
59,snowmedium,0
62,snowmedium,0
64,snowmedium,0
65,snowmedium,0
68,snowmedium,0
69,snowmedium,0
7,snowmedium,0
71,snowmedium,0
73,snowmedium,0
76,snowmedium,0
8,snowmedium,0
80,snowmedium,0
81,snowmedium,0
82,snowmedium,0
84,snowmedium,0
85,snowmedium,0
88,snowmedium,0
89,snowmedium,0
9,snowmedium,0
92,snowmedium,0
94,snowmedium,0
95,snowmedium,0
96,snowmedium,0
98,snowmedium,0
99,snowmedium,0
