filter,ideallevel_52,ideallevel_49,ideallevel_42,noiselevel_52,noiselevel_49,noiselevel_42
Original,85.38024762099661,85.90288345441522,85.27525017906477,85.25006855622634,85.72853780824721,86.41410007162591
fogmild,72.9534748797708,72.7112657321191,76.29922132405606,84.03141307684436,84.44622122173335,84.77272690064463
fogmedium,61.127462396398236,70.13676660186228,68.52193799242812,81.89200245574543,80.54072035199019,80.40689041236058
fogheavy,9.318837613834035,7.3514918653432915,6.022355469149698,35.616802414816334,44.23006855622633,42.539375831372155
rainmild,85.89009311368055,85.99251202292028,84.72503632456771,85.80272178450834,86.3194515501893,85.86155735188785
rainmedium,84.45655377059245,83.63408779289881,83.4019584569733,85.65612606159829,86.84129745216411,87.18919472014734
rainheavy,82.68835567379514,83.06319860841094,81.66469047375422,85.24381049831167,84.13963163818683,84.16446331730278
snowmild,48.56812954057096,59.35557147242402,50.10064872608208,64.02470991507214,63.72745421058019,64.03560012278726
snowmedium,34.64847948429347,41.9312237798015,31.872120126880183,55.37807633275351,45.57719328762918,46.13382993962959
snowheavy,24.787824618847846,23.27987414304717,18.21921211501074,35.09475698352605,33.6993420648726,36.13565537705924
nightmild,85.34210580169857,85.3854578941983,85.2582502813875,85.80272178450834,85.76923769569221,87.07329581500052
nightmedium,84.28839250997648,85.4052941778369,84.66199120024558,86.39363552645042,85.21658446741021,86.36726900644635
nightheavy,83.200873836079,84.23348818172516,82.92897574951398,85.26541696510796,83.09373170981274,84.4982277703878
