class,filters,error
93,Original,75.86
31,Original,85.56
62,Original,96.97
36,Original,96.75
20,Original,95.24
90,Original,96.76
61,Original,94.64
86,Original,89.33
52,Original,95.25
26,Original,90.91
28,Original,97.27
50,Original,93.48
63,Original,89.33
78,Original,92.39
16,Original,89.38
0,Original,93.5
101,Original,100.0
49,Original,91.07
30,Original,96.98
48,Original,93.21
15,Original,91.77
46,Original,90.98
79,Original,93.2
55,Original,83.12
12,Original,90.82
66,Original,74.62
22,Original,78.46
37,Original,94.24
72,Original,97.67
51,Original,83.95
32,Original,97.19
67,Original,98.33
21,Original,84.95
57,Original,87.76
83,Original,98.72
56,Original,62.5
73,Original,97.96
40,Original,89.36
41,Original,94.85
75,Original,86.27
64,Original,63.64
45,Original,94.72
74,Original,97.57
70,Original,100.0
76,Original,94.44
23,Original,94.46
59,Original,100.0
17,Original,84.62
42,Original,89.74
99,Original,84.21
6,Original,83.33
47,Original,85.19
19,Original,85.85
69,Original,90.91
53,Original,90.34
102,Original,96.0
77,Original,88.41
29,Original,57.89
89,Original,75.0
71,Original,100.0
33,Original,83.33
43,Original,90.74
97,Original,80.95
87,Original,65.19
88,Original,92.86
81,Original,77.78
68,Original,83.33
24,Original,30.0
54,Original,50.0
7,Original,62.5
1,Original,93.18
91,Original,86.44
44,Original,71.43
2,Original,88.89
34,Original,95.24
8,Original,33.33
25,Original,76.19
11,Original,93.33
60,Original,93.65
4,Original,55.56
3,Original,66.67
35,Original,94.29
27,Original,17.65
82,Original,85.71
39,Original,78.79
65,Original,33.33
92,Original,8.33
96,Original,85.71
100,Original,16.67
10,Original,92.31
80,Original,100.0
18,Original,60.0
58,Original,83.33
85,Original,44.44
5,Original,42.86
38,Original,55.56
84,Original,0.0
13,Original,25.0
98,Original,66.67
14,Original,0.0
9,Original,66.67
95,Original,0.0
94,Original,0.0
