class,filters,error
20,day,96.97
19,day,90.57
97,day,87.3
90,day,97.09
53,day,90.34
61,day,96.43
43,day,96.3
63,day,91.56
32,day,96.91
67,day,98.33
1,day,90.91
71,day,95.83
50,day,91.55
72,day,97.67
36,day,98.05
79,day,92.23
51,day,95.88
86,day,90.45
78,day,93.91
22,day,83.08
87,day,82.91
83,day,94.87
45,day,97.36
52,day,95.25
16,day,94.87
21,day,88.17
41,day,97.94
30,day,97.45
11,day,95.56
17,day,78.85
31,day,92.22
23,day,92.62
34,day,100.0
73,day,97.96
46,day,92.16
55,day,85.71
33,day,77.78
48,day,93.83
66,day,69.23
57,day,84.18
69,day,72.73
60,day,98.41
29,day,42.11
74,day,96.12
37,day,95.68
26,day,86.36
54,day,43.75
15,day,93.67
28,day,94.92
77,day,81.16
6,day,90.0
49,day,87.5
40,day,91.49
3,day,57.14
99,day,100.0
2,day,92.59
68,day,91.67
42,day,94.87
85,day,33.33
70,day,100.0
91,day,91.53
7,day,67.5
39,day,90.91
64,day,90.91
18,day,60.0
62,day,93.94
35,day,94.29
59,day,100.0
12,day,85.71
47,day,88.89
76,day,94.44
58,day,100.0
81,day,58.33
93,day,91.38
0,day,93.5
65,day,33.33
13,day,50.0
24,day,45.0
92,day,0.0
44,day,57.14
25,day,85.71
75,day,90.2
102,day,92.0
8,day,66.67
27,day,23.53
101,day,100.0
56,day,83.33
94,day,33.33
14,day,33.33
88,day,57.14
82,day,100.0
38,day,88.89
5,day,57.14
10,day,69.23
89,day,25.0
96,day,28.57
98,day,100.0
9,day,100.0
95,day,0.0
100,day,50.0
84,day,0.0
80,day,66.67
4,day,77.78
