class,filters,error
23,fog,43.38
37,fog,35.25
61,fog,19.64
53,fog,18.49
43,fog,29.63
30,fog,67.05
45,fog,35.09
28,fog,34.77
15,fog,12.66
52,fog,19.01
63,fog,18.67
32,fog,63.48
77,fog,15.22
60,fog,7.94
87,fog,14.56
18,fog,20.0
16,fog,37.36
27,fog,5.88
46,fog,9.41
17,fog,15.38
36,fog,41.56
78,fog,15.74
79,fog,31.07
90,fog,53.07
95,fog,0.0
48,fog,41.36
41,fog,41.24
42,fog,34.62
86,fog,8.43
51,fog,3.29
57,fog,3.06
50,fog,20.29
1,fog,15.91
68,fog,22.22
83,fog,34.62
67,fog,27.78
55,fog,9.52
74,fog,43.69
2,fog,42.59
21,fog,23.66
31,fog,21.11
56,fog,4.17
0,fog,52.85
66,fog,3.85
92,fog,0.0
100,fog,0.0
91,fog,35.59
73,fog,46.94
19,fog,4.72
20,fog,48.92
88,fog,10.71
85,fog,0.0
22,fog,52.31
40,fog,23.4
97,fog,26.98
72,fog,17.44
11,fog,15.56
12,fog,20.41
59,fog,48.15
35,fog,5.71
75,fog,54.9
6,fog,26.67
70,fog,36.21
81,fog,0.0
14,fog,0.0
99,fog,42.11
54,fog,0.0
47,fog,0.0
49,fog,16.07
39,fog,15.15
29,fog,5.26
34,fog,80.95
10,fog,30.77
76,fog,16.67
4,fog,0.0
93,fog,1.72
65,fog,0.0
69,fog,18.18
33,fog,61.11
58,fog,0.0
80,fog,0.0
7,fog,2.5
62,fog,9.09
102,fog,24.0
96,fog,0.0
3,fog,4.76
71,fog,8.33
25,fog,4.76
82,fog,0.0
9,fog,33.33
44,fog,14.29
98,fog,0.0
24,fog,0.0
26,fog,13.64
64,fog,0.0
101,fog,20.0
89,fog,12.5
94,fog,0.0
13,fog,0.0
8,fog,0.0
38,fog,11.11
5,fog,0.0
84,fog,0.0
