class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
0,97.56,95.93,93.5,50.41,52.85,35.77,95.93,95.93,91.87,91.06,95.93,95.12,95.12,92.68,88.62,97.56,95.12,93.5,123
1,90.91,81.82,88.64,29.55,15.91,36.36,88.64,81.82,81.82,63.64,59.09,70.45,70.45,59.09,81.82,88.64,81.82,90.91,44
2,94.44,92.59,94.44,53.7,42.59,27.78,83.33,92.59,90.74,92.59,88.89,85.19,83.33,88.89,81.48,94.44,94.44,92.59,54
3,80.95,52.38,57.14,9.52,4.76,4.76,71.43,47.62,57.14,66.67,61.9,52.38,76.19,52.38,47.62,80.95,52.38,57.14,21
4,77.78,55.56,77.78,33.33,0.0,0.0,77.78,33.33,66.67,66.67,22.22,55.56,77.78,44.44,66.67,77.78,66.67,77.78,9
5,85.71,14.29,57.14,0.0,0.0,0.0,71.43,14.29,57.14,85.71,14.29,71.43,57.14,14.29,57.14,85.71,14.29,57.14,7
6,85.0,81.67,90.0,41.67,26.67,25.0,78.33,81.67,70.0,85.0,78.33,88.33,81.67,81.67,81.67,85.0,80.0,90.0,60
7,75.0,47.5,67.5,5.0,2.5,2.5,62.5,45.0,50.0,47.5,37.5,47.5,50.0,40.0,50.0,75.0,47.5,67.5,40
8,66.67,66.67,66.67,0.0,0.0,0.0,100.0,66.67,66.67,66.67,66.67,66.67,33.33,66.67,33.33,100.0,66.67,66.67,3
9,100.0,66.67,100.0,33.33,33.33,0.0,100.0,66.67,66.67,100.0,66.67,100.0,100.0,66.67,100.0,100.0,66.67,100.0,3
10,76.92,61.54,69.23,30.77,30.77,15.38,100.0,84.62,76.92,76.92,53.85,69.23,69.23,61.54,61.54,76.92,61.54,69.23,13
11,93.33,77.78,93.33,24.44,15.56,37.78,73.33,66.67,88.89,91.11,68.89,93.33,86.67,75.56,95.56,91.11,75.56,95.56,45
12,90.82,92.86,84.69,28.57,20.41,20.41,84.69,91.84,82.65,70.41,73.47,71.43,75.51,73.47,69.39,90.82,91.84,85.71,98
13,25.0,50.0,50.0,0.0,0.0,0.0,25.0,25.0,0.0,50.0,25.0,25.0,50.0,25.0,25.0,25.0,50.0,50.0,4
14,66.67,33.33,33.33,33.33,0.0,0.0,33.33,0.0,33.33,33.33,0.0,33.33,66.67,33.33,33.33,66.67,33.33,33.33,3
15,86.71,86.71,94.3,28.48,12.66,25.95,84.18,83.54,72.78,86.08,78.48,90.51,85.44,80.38,87.34,86.71,84.18,93.67,158
16,94.87,89.38,94.87,52.38,37.36,47.25,93.41,88.28,93.41,93.04,88.28,93.77,89.38,85.71,93.41,94.87,89.01,94.87,273
17,92.31,84.62,78.85,21.15,15.38,11.54,84.62,67.31,73.08,86.54,80.77,82.69,86.54,75.0,75.0,92.31,84.62,78.85,52
18,100.0,60.0,60.0,60.0,20.0,0.0,100.0,60.0,60.0,100.0,60.0,60.0,80.0,40.0,40.0,100.0,60.0,60.0,5
19,83.96,87.74,89.62,5.66,4.72,4.72,83.02,89.62,80.19,59.43,68.87,67.92,63.21,70.75,68.87,84.91,86.79,90.57,106
20,93.07,95.67,96.97,51.52,48.92,44.16,84.85,96.54,92.64,88.74,90.91,93.07,91.77,90.91,95.24,93.07,95.24,96.97,231
21,89.25,88.17,88.17,30.11,23.66,20.43,82.8,82.8,74.19,81.72,81.72,79.57,83.87,83.87,80.65,89.25,87.1,88.17,93
22,83.08,76.92,83.08,64.62,52.31,44.62,84.62,76.92,83.08,81.54,76.92,81.54,83.08,78.46,80.0,83.08,76.92,83.08,65
23,89.54,97.54,92.62,20.62,43.38,37.23,85.23,96.92,91.69,81.23,94.15,91.38,83.08,94.46,90.15,89.85,97.54,92.62,325
24,35.0,65.0,45.0,0.0,0.0,5.0,15.0,65.0,40.0,20.0,50.0,35.0,45.0,65.0,25.0,30.0,65.0,45.0,20
25,76.19,80.95,85.71,23.81,4.76,14.29,66.67,80.95,76.19,66.67,80.95,61.9,66.67,80.95,57.14,76.19,80.95,85.71,21
26,90.91,90.91,86.36,36.36,13.64,27.27,86.36,81.82,90.91,90.91,77.27,81.82,77.27,72.73,77.27,90.91,90.91,86.36,22
27,17.65,0.0,23.53,11.76,5.88,11.76,0.0,0.0,23.53,11.76,0.0,23.53,5.88,0.0,11.76,17.65,0.0,23.53,17
28,98.44,98.44,94.92,42.58,34.77,27.73,96.09,94.92,93.75,88.67,89.84,85.94,87.11,89.06,85.16,98.05,98.44,94.92,256
29,75.44,36.84,42.11,12.28,5.26,0.0,73.68,31.58,40.35,43.86,19.3,26.32,54.39,29.82,33.33,78.95,36.84,42.11,57
30,97.22,98.61,97.45,65.2,67.05,80.74,95.13,98.14,96.06,94.2,97.68,97.22,95.36,96.75,96.75,96.98,98.61,97.45,431
31,88.33,90.0,93.33,32.22,21.11,30.0,60.0,70.0,76.67,84.44,86.11,87.78,87.22,84.44,90.56,88.33,90.56,92.22,180
32,97.75,93.26,96.63,72.47,63.48,62.64,95.79,90.45,94.94,95.22,89.33,94.94,89.33,87.36,92.42,97.47,93.26,96.91,356
33,55.56,77.78,77.78,22.22,61.11,55.56,55.56,77.78,77.78,50.0,77.78,77.78,50.0,77.78,77.78,55.56,77.78,77.78,18
34,95.24,95.24,100.0,57.14,80.95,52.38,95.24,95.24,95.24,95.24,90.48,100.0,95.24,95.24,100.0,95.24,95.24,100.0,21
35,82.86,60.0,94.29,40.0,5.71,17.14,57.14,28.57,68.57,82.86,45.71,88.57,82.86,62.86,88.57,82.86,62.86,94.29,35
36,96.1,96.1,98.05,46.75,41.56,50.65,51.95,81.82,61.69,94.16,93.51,97.4,94.16,91.56,96.1,96.1,96.1,98.05,154
37,95.68,97.12,95.68,33.81,35.25,17.99,92.81,95.68,91.37,93.53,97.12,94.96,87.77,95.68,90.65,94.96,97.12,95.68,139
38,100.0,77.78,88.89,33.33,11.11,0.0,66.67,66.67,55.56,100.0,66.67,77.78,77.78,55.56,77.78,100.0,77.78,88.89,9
39,75.76,84.85,90.91,24.24,15.15,33.33,69.7,60.61,84.85,72.73,75.76,87.88,72.73,78.79,87.88,75.76,84.85,90.91,33
40,91.49,95.74,91.49,42.55,23.4,23.4,91.49,91.49,87.23,85.11,85.11,91.49,87.23,89.36,82.98,91.49,95.74,91.49,47
41,92.78,98.97,97.94,21.65,41.24,41.24,89.69,98.97,96.91,78.35,88.66,91.75,78.35,91.75,93.81,91.75,98.97,97.94,97
42,93.59,92.31,96.15,55.13,34.62,43.59,91.03,91.03,92.31,92.31,92.31,94.87,91.03,89.74,93.59,92.31,91.03,94.87,78
43,94.44,77.78,96.3,51.85,29.63,51.85,88.89,72.22,94.44,87.04,72.22,98.15,85.19,81.48,96.3,94.44,75.93,96.3,54
44,57.14,85.71,57.14,14.29,14.29,28.57,57.14,85.71,71.43,57.14,71.43,71.43,57.14,71.43,57.14,57.14,85.71,57.14,7
45,95.09,97.36,97.36,24.15,35.09,34.72,90.94,96.23,95.85,86.04,92.83,92.45,86.42,93.21,89.06,95.47,97.36,97.36,265
46,93.33,91.37,92.16,9.02,9.41,12.16,39.61,89.8,90.98,65.1,65.88,76.86,70.2,77.65,77.25,91.37,90.98,92.16,255
47,88.89,51.85,88.89,22.22,0.0,3.7,92.59,55.56,81.48,77.78,55.56,85.19,77.78,51.85,81.48,88.89,51.85,88.89,27
48,93.21,94.44,93.83,55.86,41.36,38.58,88.89,94.44,92.28,90.74,91.36,91.36,87.96,91.05,91.67,92.59,94.44,93.83,324
49,83.93,92.86,87.5,21.43,16.07,32.14,71.43,85.71,92.86,73.21,85.71,87.5,80.36,85.71,83.93,83.93,85.71,87.5,56
50,93.72,87.2,91.79,43.72,20.29,25.85,88.65,80.19,89.37,85.99,75.6,85.99,83.57,75.36,83.57,93.0,86.71,91.55,414
51,91.36,86.42,96.3,11.11,3.29,14.4,77.37,82.72,93.0,66.67,67.08,80.25,65.43,66.26,76.95,89.71,85.6,95.88,243
52,93.6,92.98,95.66,33.47,19.01,22.73,86.36,90.5,93.6,77.69,79.34,82.23,78.72,75.41,79.96,91.74,92.36,95.25,484
53,92.02,92.44,89.92,32.35,18.49,15.97,81.51,84.45,87.39,79.83,78.15,81.09,76.89,80.25,76.47,92.02,91.6,90.34,238
54,56.25,56.25,50.0,18.75,0.0,18.75,56.25,25.0,62.5,50.0,50.0,31.25,50.0,50.0,37.5,50.0,56.25,43.75,16
55,92.21,89.61,86.58,17.75,9.52,6.06,73.16,84.42,83.12,71.86,74.03,67.1,79.22,74.89,66.67,92.21,90.04,85.71,231
56,66.67,62.5,83.33,12.5,4.17,0.0,20.83,29.17,12.5,58.33,58.33,54.17,54.17,41.67,66.67,66.67,58.33,83.33,24
57,79.08,83.16,85.2,6.12,3.06,0.51,80.61,80.61,78.57,61.73,62.76,57.14,64.29,59.18,57.14,79.08,83.67,84.18,196
58,91.67,83.33,100.0,0.0,0.0,25.0,91.67,66.67,100.0,83.33,58.33,100.0,75.0,75.0,83.33,91.67,75.0,100.0,12
59,88.89,100.0,100.0,22.22,48.15,37.04,85.19,100.0,100.0,81.48,96.3,100.0,70.37,96.3,77.78,88.89,100.0,100.0,27
60,85.71,87.3,98.41,6.35,7.94,15.87,93.65,96.83,98.41,58.73,68.25,82.54,50.79,55.56,80.95,85.71,87.3,98.41,63
61,82.14,94.64,94.64,14.29,19.64,17.86,83.93,87.5,94.64,83.93,89.29,92.86,62.5,92.86,91.07,87.5,94.64,96.43,56
62,84.85,87.88,93.94,12.12,9.09,24.24,90.91,93.94,93.94,51.52,57.58,84.85,63.64,72.73,75.76,84.85,87.88,93.94,33
63,92.89,91.56,92.0,39.56,18.67,8.89,58.22,44.89,41.33,82.22,80.0,77.33,88.44,79.56,81.78,92.44,91.56,91.56,225
64,63.64,72.73,90.91,0.0,0.0,9.09,0.0,9.09,0.0,27.27,27.27,63.64,54.55,45.45,63.64,63.64,63.64,90.91,11
65,0.0,11.11,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,22.22,0.0,11.11,33.33,9
66,76.15,49.23,70.0,24.62,3.85,1.54,36.15,20.0,26.92,69.23,35.38,47.69,72.31,42.31,57.69,76.15,47.69,69.23,130
67,96.67,96.67,98.33,34.44,27.78,26.11,83.89,80.0,86.11,83.33,82.78,81.11,86.67,85.0,87.78,97.22,96.67,98.33,180
68,75.0,86.11,91.67,13.89,22.22,25.0,50.0,77.78,86.11,66.67,80.56,88.89,72.22,86.11,88.89,75.0,86.11,91.67,36
69,72.73,72.73,72.73,27.27,18.18,54.55,63.64,54.55,72.73,72.73,72.73,72.73,72.73,72.73,63.64,72.73,72.73,72.73,11
70,98.28,98.28,100.0,43.1,36.21,22.41,93.1,94.83,87.93,96.55,94.83,91.38,96.55,96.55,94.83,98.28,98.28,100.0,58
71,100.0,95.83,95.83,4.17,8.33,4.17,37.5,83.33,12.5,70.83,95.83,58.33,70.83,75.0,87.5,100.0,95.83,95.83,24
72,93.02,93.02,97.67,13.95,17.44,27.91,51.16,59.3,91.86,89.53,89.53,97.67,87.21,88.37,95.35,93.02,91.86,97.67,86
73,95.92,93.88,97.96,44.9,46.94,44.9,97.96,81.63,79.59,93.88,89.8,93.88,95.92,93.88,93.88,95.92,93.88,97.96,49
74,94.66,97.09,95.63,43.2,43.69,41.26,80.1,80.58,78.16,92.72,95.63,92.23,90.29,94.66,92.72,94.66,96.6,96.12,206
75,94.12,92.16,90.2,52.94,54.9,35.29,80.39,84.31,76.47,80.39,80.39,80.39,78.43,82.35,86.27,94.12,92.16,90.2,51
76,94.44,100.0,94.44,44.44,16.67,44.44,77.78,66.67,88.89,83.33,83.33,94.44,88.89,66.67,88.89,94.44,100.0,94.44,18
77,84.06,81.16,81.88,28.26,15.22,11.59,44.2,40.58,47.83,71.01,71.74,71.01,78.26,76.09,75.36,84.78,81.16,81.16,138
78,90.86,92.89,93.91,11.68,15.74,19.8,80.2,73.1,86.8,81.73,86.29,86.8,82.74,89.34,84.26,90.86,92.89,93.91,197
79,89.32,91.26,92.23,28.16,31.07,29.13,81.55,84.47,89.32,89.32,92.23,89.32,88.35,88.35,88.35,90.29,91.26,92.23,103
80,100.0,100.0,66.67,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,33.33,100.0,100.0,66.67,100.0,100.0,66.67,3
81,91.67,80.56,58.33,0.0,0.0,5.56,0.0,38.89,36.11,75.0,63.89,41.67,86.11,63.89,52.78,91.67,80.56,58.33,36
82,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,71.43,100.0,71.43,85.71,100.0,100.0,100.0,7
83,98.72,94.87,94.87,41.03,34.62,26.92,94.87,83.33,85.9,89.74,92.31,92.31,91.03,85.9,94.87,98.72,94.87,94.87,78
84,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
85,22.22,11.11,44.44,11.11,0.0,0.0,0.0,22.22,11.11,22.22,11.11,22.22,22.22,11.11,33.33,22.22,11.11,33.33,9
86,48.88,87.08,91.01,0.56,8.43,14.04,3.37,15.17,68.54,38.2,71.35,86.52,41.57,76.97,79.21,48.31,85.96,90.45,178
87,35.44,72.78,82.28,0.63,14.56,18.99,3.16,12.03,41.14,24.05,57.59,75.32,25.95,71.52,70.89,33.54,74.05,82.91,158
88,78.57,25.0,57.14,17.86,10.71,10.71,60.71,21.43,46.43,60.71,32.14,28.57,60.71,28.57,39.29,78.57,25.0,57.14,28
89,75.0,50.0,25.0,12.5,12.5,12.5,62.5,37.5,12.5,62.5,50.0,12.5,50.0,25.0,12.5,75.0,50.0,25.0,8
90,98.06,96.93,97.09,73.3,53.07,49.19,95.47,90.61,87.7,97.9,96.12,95.63,97.25,95.15,94.5,98.06,97.09,97.09,618
91,89.83,76.27,91.53,44.07,35.59,23.73,71.19,45.76,88.14,83.05,74.58,88.14,86.44,77.97,89.83,89.83,74.58,91.53,59
92,8.33,33.33,0.0,0.0,0.0,0.0,8.33,25.0,0.0,8.33,16.67,0.0,16.67,16.67,0.0,8.33,33.33,0.0,12
93,84.48,58.62,91.38,5.17,1.72,6.9,70.69,17.24,51.72,75.86,48.28,63.79,72.41,44.83,77.59,84.48,58.62,91.38,58
94,0.0,100.0,33.33,0.0,0.0,0.0,0.0,100.0,33.33,0.0,100.0,33.33,0.0,100.0,33.33,0.0,100.0,33.33,3
95,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,33.33,0.0,0.0,33.33,0.0,3
96,85.71,28.57,28.57,28.57,0.0,0.0,85.71,14.29,28.57,85.71,28.57,14.29,85.71,28.57,28.57,85.71,28.57,28.57,7
97,80.95,82.54,85.71,26.98,26.98,15.87,80.95,77.78,84.13,77.78,82.54,85.71,77.78,77.78,84.13,80.95,82.54,87.3,63
98,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,66.67,66.67,0.0,100.0,33.33,33.33,100.0,100.0,0.0,100.0,3
99,84.21,100.0,100.0,42.11,42.11,5.26,78.95,89.47,73.68,84.21,100.0,100.0,84.21,100.0,100.0,84.21,100.0,100.0,19
100,0.0,0.0,50.0,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0,33.33,16.67,0.0,33.33,0.0,0.0,50.0,6
