filter,class,predicted_class
Original,19,19
night,19,19
Original,37,37
night,37,37
Original,45,45
night,45,45
Original,36,36
night,36,32
Original,66,66
night,66,66
Original,87,87
night,87,36
Original,20,20
night,20,63
Original,30,30
night,30,30
Original,36,36
night,36,36
Original,45,45
night,45,45
Original,67,67
night,67,83
Original,67,67
night,67,67
Original,52,52
night,52,52
Original,51,51
night,51,51
Original,32,32
night,32,32
Original,52,52
night,52,52
Original,87,87
night,87,61
Original,21,21
night,21,21
Original,90,90
night,90,90
Original,36,36
night,36,69
Original,74,74
night,74,74
Original,90,90
night,90,90
Original,31,31
night,31,48
Original,78,78
night,78,78
Original,93,30
night,93,30
Original,55,55
night,55,55
Original,57,57
night,57,57
Original,12,17
night,12,17
Original,50,50
night,50,50
Original,102,102
night,102,102
Original,55,55
night,55,55
Original,97,97
night,97,97
Original,93,93
night,93,93
Original,29,29
night,29,29
Original,45,45
night,45,45
Original,20,20
night,20,63
Original,78,78
night,78,78
Original,36,36
night,36,36
Original,22,22
night,22,22
Original,23,23
night,23,29
Original,87,30
night,87,45
Original,86,45
night,86,16
Original,90,90
night,90,90
Original,53,53
night,53,53
Original,30,16
night,30,16
Original,30,30
night,30,30
Original,53,53
night,53,53
Original,74,90
night,74,90
Original,50,50
night,50,50
Original,70,70
night,70,91
Original,23,23
night,23,23
Original,20,15
night,20,15
Original,87,88
night,87,46
Original,63,43
night,63,43
Original,36,36
night,36,32
Original,63,63
night,63,63
Original,77,77
night,77,77
Original,25,25
night,25,25
Original,60,60
night,60,60
Original,21,21
night,21,21
Original,36,36
night,36,36
Original,52,52
night,52,52
Original,74,74
night,74,78
Original,50,51
night,50,53
Original,50,50
night,50,53
Original,55,55
night,55,55
Original,73,73
night,73,73
Original,16,30
night,16,16
Original,45,45
night,45,45
Original,90,90
night,90,90
Original,90,90
night,90,90
Original,0,0
night,0,0
Original,55,55
night,55,55
Original,48,48
night,48,48
Original,31,31
night,31,31
Original,45,45
night,45,45
Original,23,23
night,23,23
Original,1,1
night,1,1
Original,23,23
night,23,23
Original,52,52
night,52,52
Original,90,90
night,90,90
Original,30,30
night,30,30
Original,67,67
night,67,67
Original,48,48
night,48,48
Original,42,42
night,42,42
Original,53,53
night,53,53
Original,93,93
night,93,93
Original,87,87
night,87,45
Original,40,40
night,40,40
Original,37,37
night,37,37
Original,87,16
night,87,16
Original,20,20
night,20,16
Original,23,23
night,23,23
Original,51,51
night,51,51
Original,41,41
night,41,41
Original,87,87
night,87,52
Original,48,48
night,48,48
Original,79,79
night,79,79
Original,30,30
night,30,30
Original,70,70
night,70,69
Original,30,30
night,30,30
Original,46,46
night,46,55
Original,90,90
night,90,90
Original,30,30
night,30,30
Original,77,77
night,77,77
Original,86,87
night,86,16
Original,48,48
night,48,48
Original,47,47
night,47,47
Original,77,77
night,77,20
Original,75,75
night,75,59
Original,22,24
night,22,33
Original,86,55
night,86,57
Original,74,74
night,74,74
Original,55,55
night,55,55
Original,83,83
night,83,83
Original,12,12
night,12,62
Original,57,57
night,57,57
Original,32,32
night,32,32
Original,16,16
night,16,16
Original,77,77
night,77,90
Original,30,30
night,30,30
Original,79,79
night,79,79
Original,61,45
night,61,90
Original,87,30
night,87,27
Original,52,52
night,52,52
Original,17,17
night,17,17
Original,50,50
night,50,50
Original,32,32
night,32,32
Original,86,86
night,86,22
Original,28,28
night,28,28
Original,54,54
night,54,54
Original,52,52
night,52,52
Original,70,70
night,70,70
Original,23,23
night,23,23
Original,20,20
night,20,20
Original,78,90
night,78,90
Original,30,30
night,30,30
Original,90,90
night,90,90
Original,19,62
night,19,74
Original,0,0
night,0,0
Original,17,17
night,17,3
Original,19,19
night,19,19
Original,77,77
night,77,77
Original,45,45
night,45,45
Original,91,91
night,91,91
Original,32,32
night,32,32
Original,31,85
night,31,13
Original,86,87
night,86,45
Original,63,63
night,63,63
Original,36,36
night,36,32
Original,73,73
night,73,73
Original,23,23
night,23,23
Original,53,53
night,53,53
Original,21,21
night,21,21
Original,66,66
night,66,66
Original,90,90
night,90,90
Original,20,76
night,20,63
Original,16,16
night,16,16
Original,0,0
night,0,0
Original,57,57
night,57,57
Original,30,30
night,30,30
Original,12,12
night,12,12
Original,63,63
night,63,63
Original,32,32
night,32,32
Original,48,48
night,48,48
Original,31,31
night,31,31
Original,74,74
night,74,74
Original,23,23
night,23,23
Original,53,53
night,53,53
Original,20,20
night,20,20
Original,53,53
night,53,53
Original,7,7
night,7,7
Original,77,77
night,77,77
Original,53,53
night,53,53
Original,20,20
night,20,20
Original,60,60
night,60,60
Original,74,74
night,74,74
Original,70,70
night,70,70
Original,50,53
night,50,53
Original,50,50
night,50,50
Original,86,86
night,86,30
Original,31,49
night,31,49
Original,70,70
night,70,70
Original,0,0
night,0,0
Original,39,39
night,39,39
Original,50,53
night,50,53
Original,39,39
night,39,39
Original,42,42
night,42,42
Original,90,90
night,90,90
Original,52,52
night,52,52
Original,34,34
night,34,34
Original,90,90
night,90,90
Original,52,52
night,52,52
Original,83,83
night,83,83
Original,70,70
night,70,70
Original,51,51
night,51,51
Original,74,74
night,74,74
Original,90,90
night,90,90
Original,77,77
night,77,63
Original,47,47
night,47,47
Original,30,30
night,30,30
Original,30,30
night,30,30
Original,30,30
night,30,30
Original,1,1
night,1,1
Original,86,86
night,86,31
Original,56,56
night,56,16
Original,36,36
night,36,32
Original,48,48
night,48,28
Original,37,37
night,37,37
Original,83,83
night,83,83
Original,0,0
night,0,0
Original,90,90
night,90,90
Original,57,53
night,57,53
Original,46,46
night,46,46
Original,36,36
night,36,36
Original,51,51
night,51,51
Original,16,16
night,16,16
Original,53,53
night,53,53
Original,58,58
night,58,58
Original,48,48
night,48,48
Original,37,37
night,37,37
Original,57,57
night,57,57
Original,90,90
night,90,90
Original,32,32
night,32,32
Original,36,32
night,36,32
Original,79,79
night,79,79
Original,28,28
night,28,28
Original,31,31
night,31,31
Original,53,53
night,53,37
Original,51,51
night,51,51
Original,27,32
night,27,32
Original,90,90
night,90,90
Original,90,90
night,90,90
Original,57,57
night,57,57
Original,30,30
night,30,30
Original,19,19
night,19,19
Original,45,45
night,45,45
Original,48,48
night,48,48
Original,23,23
night,23,23
Original,48,52
night,48,52
Original,23,23
night,23,23
Original,72,72
night,72,72
Original,37,37
night,37,37
Original,67,67
night,67,67
Original,0,0
night,0,0
Original,78,78
night,78,78
Original,69,69
night,69,69
Original,74,74
night,74,74
Original,23,23
night,23,23
Original,30,30
night,30,30
Original,61,61
night,61,61
Original,23,23
night,23,23
Original,48,48
night,48,48
Original,37,37
night,37,37
Original,0,0
night,0,0
Original,78,78
night,78,78
Original,79,79
night,79,79
Original,16,16
night,16,16
Original,52,15
night,52,85
Original,46,46
night,46,60
Original,97,69
night,97,32
Original,77,77
night,77,36
Original,30,30
night,30,87
Original,51,51
night,51,51
Original,31,31
night,31,53
Original,20,20
night,20,20
Original,45,45
night,45,45
Original,45,45
night,45,45
Original,52,52
night,52,60
Original,50,50
night,50,50
Original,30,30
night,30,30
Original,31,31
night,31,49
Original,55,55
night,55,55
Original,78,78
night,78,78
Original,23,23
night,23,23
Original,52,52
night,52,52
Original,61,61
night,61,61
Original,79,79
night,79,79
Original,63,63
night,63,48
Original,23,23
night,23,23
Original,57,57
night,57,57
Original,46,46
night,46,62
Original,21,21
night,21,21
Original,79,79
night,79,79
Original,81,81
night,81,32
Original,88,88
night,88,53
Original,78,78
night,78,78
Original,5,5
night,5,5
Original,72,72
night,72,72
Original,43,27
night,43,31
Original,30,30
night,30,30
Original,16,16
night,16,16
Original,78,78
night,78,78
Original,32,32
night,32,32
Original,86,87
night,86,86
Original,35,35
night,35,35
Original,15,15
night,15,15
Original,66,41
night,66,67
Original,102,102
night,102,102
Original,41,41
night,41,41
Original,86,16
night,86,57
Original,46,46
night,46,46
Original,30,30
night,30,30
Original,40,40
night,40,40
Original,23,23
night,23,23
Original,0,0
night,0,0
Original,74,74
night,74,74
Original,16,16
night,16,16
Original,30,30
night,30,30
Original,83,83
night,83,83
Original,53,53
night,53,53
Original,16,16
night,16,16
Original,87,16
night,87,16
Original,51,51
night,51,37
Original,30,30
night,30,30
Original,52,52
night,52,52
Original,20,20
night,20,20
Original,6,6
night,6,6
Original,63,63
night,63,30
Original,57,57
night,57,57
Original,45,45
night,45,32
Original,0,0
night,0,0
Original,90,90
night,90,90
Original,90,90
night,90,90
Original,72,72
night,72,72
Original,41,41
night,41,41
Original,67,67
night,67,67
Original,74,74
night,74,74
Original,43,43
night,43,43
Original,6,6
night,6,6
Original,16,16
night,16,16
Original,15,15
night,15,15
Original,90,90
night,90,90
Original,44,44
night,44,44
Original,54,54
night,54,54
Original,30,30
night,30,30
Original,21,21
night,21,13
Original,48,48
night,48,48
Original,51,51
night,51,51
Original,0,0
night,0,0
Original,50,53
night,50,46
Original,26,26
night,26,26
Original,30,30
night,30,30
Original,63,63
night,63,49
Original,78,78
night,78,78
Original,88,88
night,88,88
Original,48,48
night,48,48
Original,16,16
night,16,16
Original,0,0
night,0,0
Original,30,30
night,30,30
Original,48,48
night,48,48
Original,90,90
night,90,90
Original,10,15
night,10,10
Original,45,45
night,45,45
Original,0,0
night,0,0
Original,28,28
night,28,28
Original,52,52
night,52,52
Original,55,55
night,55,55
Original,48,48
night,48,48
Original,61,61
night,61,61
Original,32,32
night,32,32
Original,90,90
night,90,90
Original,0,0
night,0,0
Original,60,59
night,60,59
Original,2,2
night,2,2
Original,17,17
night,17,17
Original,78,72
night,78,32
Original,2,2
night,2,2
Original,30,30
night,30,30
Original,55,55
night,55,55
Original,30,30
night,30,30
Original,79,79
night,79,79
Original,78,78
night,78,78
Original,41,41
night,41,41
Original,23,23
night,23,23
Original,32,32
night,32,32
Original,57,57
night,57,57
Original,48,48
night,48,48
Original,7,7
night,7,7
Original,90,90
night,90,90
Original,53,53
night,53,53
Original,46,46
night,46,46
Original,90,90
night,90,90
Original,23,23
night,23,23
Original,59,59
night,59,59
Original,37,37
night,37,37
Original,31,31
night,31,31
Original,4,90
night,4,90
Original,55,55
night,55,55
Original,23,23
night,23,23
Original,36,36
night,36,36
Original,79,79
night,79,79
Original,37,37
night,37,37
Original,10,10
night,10,10
Original,0,0
night,0,0
Original,90,90
night,90,90
Original,77,74
night,77,30
Original,63,63
night,63,63
Original,32,32
night,32,32
Original,73,73
night,73,73
Original,55,55
night,55,55
Original,0,0
night,0,0
Original,46,32
night,46,32
Original,72,72
night,72,67
Original,102,102
night,102,102
Original,30,30
night,30,30
Original,42,42
night,42,42
Original,53,53
night,53,53
Original,28,28
night,28,28
Original,45,45
night,45,45
Original,16,16
night,16,16
Original,21,21
night,21,21
Original,86,86
night,86,16
Original,7,7
night,7,7
Original,67,67
night,67,67
Original,48,48
night,48,48
Original,77,77
night,77,77
Original,67,67
night,67,67
Original,11,11
night,11,11
Original,30,30
night,30,30
Original,20,20
night,20,20
Original,43,43
night,43,43
Original,70,70
night,70,70
Original,28,28
night,28,28
Original,55,55
night,55,55
Original,55,55
night,55,55
Original,60,60
night,60,60
Original,51,51
night,51,51
Original,63,63
night,63,63
Original,28,28
night,28,28
Original,40,40
night,40,40
Original,0,0
night,0,0
Original,15,24
night,15,90
Original,49,49
night,49,49
Original,50,50
night,50,50
Original,90,90
night,90,90
Original,40,40
night,40,40
Original,67,67
night,67,67
Original,19,19
night,19,19
Original,52,52
night,52,52
Original,60,60
night,60,60
Original,66,78
night,66,78
Original,63,63
night,63,48
Original,66,63
night,66,67
Original,67,67
night,67,67
Original,75,75
night,75,60
Original,51,51
night,51,51
Original,90,90
night,90,90
Original,75,75
night,75,83
Original,63,63
night,63,63
Original,28,28
night,28,28
Original,53,53
night,53,53
Original,41,41
night,41,41
Original,90,90
night,90,90
Original,37,37
night,37,37
Original,79,79
night,79,68
Original,46,46
night,46,55
Original,53,88
night,53,88
Original,90,90
night,90,90
Original,28,28
night,28,28
Original,46,46
night,46,46
Original,52,52
night,52,52
Original,31,31
night,31,31
Original,31,31
night,31,31
Original,23,23
night,23,23
Original,49,49
night,49,49
Original,32,32
night,32,32
Original,16,16
night,16,16
Original,32,32
night,32,32
Original,99,99
night,99,99
Original,52,52
night,52,52
Original,74,74
night,74,74
Original,46,46
night,46,46
Original,52,52
night,52,52
Original,44,50
night,44,89
Original,51,51
night,51,51
Original,48,48
night,48,48
Original,37,37
night,37,37
Original,90,90
night,90,90
Original,61,61
night,61,61
Original,67,67
night,67,83
Original,51,51
night,51,51
Original,46,46
night,46,46
Original,32,32
night,32,32
Original,48,48
night,48,48
Original,46,46
night,46,46
Original,30,30
night,30,30
Original,37,37
night,37,37
Original,59,59
night,59,37
Original,62,62
night,62,62
Original,90,90
night,90,90
Original,30,30
night,30,90
Original,32,32
night,32,32
Original,43,43
night,43,43
Original,36,36
night,36,32
Original,63,63
night,63,63
Original,73,73
night,73,73
Original,41,32
night,41,32
Original,85,83
night,85,60
Original,90,90
night,90,90
Original,16,16
night,16,16
Original,46,46
night,46,53
Original,37,37
night,37,37
Original,90,90
night,90,90
Original,23,23
night,23,23
Original,15,15
night,15,15
Original,58,58
night,58,58
Original,52,52
night,52,52
Original,48,48
night,48,48
Original,15,15
night,15,15
Original,90,90
night,90,90
Original,28,28
night,28,28
Original,23,28
night,23,28
Original,90,90
night,90,90
Original,77,77
night,77,77
Original,74,74
night,74,74
Original,52,52
night,52,52
Original,86,45
night,86,16
Original,51,51
night,51,51
Original,50,50
night,50,50
Original,90,90
night,90,90
Original,34,34
night,34,34
Original,0,0
night,0,0
Original,52,52
night,52,52
