class,filters,error
93,night,31.03
31,night,50.0
62,night,96.97
36,night,68.83
20,night,90.48
90,night,82.52
61,night,92.86
86,night,61.24
52,night,83.26
26,night,86.36
28,night,87.11
50,night,84.78
63,night,35.56
78,night,73.6
16,night,87.55
0,night,91.87
101,night,0.0
49,night,87.5
30,night,95.82
48,night,90.74
15,night,87.34
46,night,83.92
79,night,93.2
55,night,61.04
12,night,85.71
66,night,9.23
22,night,83.08
37,night,93.53
72,night,60.47
51,night,79.01
32,night,96.35
67,night,64.44
21,night,76.34
57,night,68.37
83,night,88.46
56,night,12.5
73,night,89.8
40,night,82.98
41,night,92.78
75,night,76.47
64,night,27.27
45,night,92.45
74,night,88.35
70,night,100.0
76,night,77.78
23,night,93.85
59,night,100.0
17,night,36.54
42,night,80.77
99,night,52.63
6,night,68.33
47,night,51.85
19,night,76.42
69,night,90.91
53,night,72.69
102,night,36.0
77,night,59.42
29,night,42.11
89,night,62.5
71,night,4.17
33,night,88.89
43,night,90.74
97,night,74.6
87,night,0.63
88,night,57.14
81,night,41.67
68,night,75.0
24,night,25.0
54,night,31.25
7,night,42.5
1,night,95.45
91,night,61.02
44,night,85.71
2,night,79.63
34,night,80.95
8,night,33.33
25,night,85.71
11,night,60.0
60,night,87.3
4,night,22.22
3,night,61.9
35,night,74.29
27,night,17.65
82,night,0.0
39,night,54.55
65,night,0.0
92,night,0.0
96,night,71.43
100,night,0.0
10,night,92.31
80,night,66.67
18,night,60.0
58,night,83.33
85,night,11.11
5,night,42.86
38,night,11.11
84,night,0.0
13,night,0.0
98,night,0.0
14,night,33.33
9,night,33.33
95,night,0.0
94,night,0.0
