class,filters,error
51,rain,65.43
57,rain,55.1
87,rain,55.06
45,rain,95.47
79,rain,93.2
23,rain,94.15
90,rain,96.44
28,rain,88.67
50,rain,86.71
78,rain,84.26
97,rain,82.54
92,rain,0.0
86,rain,79.78
72,rain,89.53
66,rain,59.23
63,rain,83.11
52,rain,73.35
71,rain,75.0
55,rain,64.94
22,rain,78.46
20,rain,95.24
15,rain,85.44
16,rain,87.18
53,rain,79.83
37,rain,90.65
70,rain,93.1
48,rain,91.98
77,rain,76.81
40,rain,93.62
46,rain,80.0
6,rain,76.67
30,rain,96.29
36,rain,97.4
31,rain,84.44
32,rain,94.94
42,rain,93.59
0,rain,92.68
33,rain,61.11
74,rain,92.23
60,rain,73.02
19,rain,75.47
49,rain,87.5
56,rain,41.67
83,rain,83.33
81,rain,72.22
39,rain,75.76
91,rain,83.05
54,rain,37.5
11,rain,93.33
67,rain,78.89
75,rain,76.47
59,rain,77.78
101,rain,100.0
47,rain,77.78
21,rain,79.57
1,rain,68.18
61,rain,82.14
35,rain,88.57
62,rain,54.55
102,rain,80.0
100,rain,50.0
65,rain,11.11
34,rain,95.24
24,rain,55.0
3,rain,61.9
88,rain,67.86
26,rain,95.45
7,rain,37.5
93,rain,31.03
68,rain,77.78
38,rain,55.56
13,rain,50.0
43,rain,94.44
41,rain,88.66
12,rain,75.51
73,rain,95.92
25,rain,66.67
17,rain,84.62
29,rain,35.09
76,rain,88.89
4,rain,66.67
99,rain,89.47
10,rain,84.62
96,rain,0.0
85,rain,77.78
27,rain,11.76
2,rain,94.44
14,rain,66.67
5,rain,57.14
94,rain,0.0
95,rain,0.0
69,rain,72.73
89,rain,12.5
64,rain,27.27
9,rain,66.67
82,rain,71.43
58,rain,66.67
80,rain,100.0
18,rain,100.0
8,rain,33.33
44,rain,71.43
84,rain,0.0
98,rain,33.33
