class,filters,error
23,snow,92.92
90,snow,95.95
86,snow,87.08
50,snow,84.54
66,snow,56.92
77,snow,83.33
16,snow,85.71
30,snow,95.36
87,snow,59.49
48,snow,91.36
12,snow,74.49
57,snow,66.84
46,snow,75.69
32,snow,93.82
7,snow,50.0
56,snow,33.33
2,snow,77.78
45,snow,91.32
63,snow,76.0
20,snow,92.64
52,snow,75.83
21,snow,72.04
51,snow,67.08
28,snow,87.5
64,snow,54.55
15,snow,85.44
0,snow,91.87
102,snow,88.0
40,snow,89.36
19,snow,67.92
53,snow,76.47
6,snow,76.67
31,snow,84.44
35,snow,97.14
83,snow,92.31
43,snow,83.33
78,snow,85.79
34,snow,100.0
55,snow,62.77
36,snow,96.75
97,snow,74.6
41,snow,83.51
93,snow,70.69
72,snow,91.86
67,snow,83.33
73,snow,95.92
59,snow,92.59
75,snow,76.47
24,snow,40.0
74,snow,93.2
79,snow,90.29
101,snow,100.0
91,snow,84.75
11,snow,80.0
17,snow,78.85
49,snow,82.14
71,snow,79.17
47,snow,77.78
22,snow,76.92
61,snow,89.29
29,snow,36.84
60,snow,68.25
65,snow,22.22
70,snow,94.83
68,snow,72.22
37,snow,92.81
85,snow,22.22
10,snow,92.31
92,snow,8.33
69,snow,90.91
42,snow,88.46
3,snow,61.9
25,snow,71.43
14,snow,0.0
44,snow,57.14
76,snow,88.89
1,snow,84.09
88,snow,71.43
4,snow,55.56
81,snow,69.44
9,snow,33.33
96,snow,85.71
99,snow,84.21
100,snow,33.33
62,snow,84.85
94,snow,0.0
39,snow,66.67
27,snow,23.53
26,snow,81.82
84,snow,0.0
58,snow,83.33
38,snow,55.56
33,snow,83.33
5,snow,28.57
95,snow,0.0
18,snow,60.0
89,snow,37.5
54,snow,43.75
80,snow,100.0
82,snow,85.71
98,snow,0.0
8,snow,33.33
13,snow,25.0
