class,Originalmodel45,Originalmodel55,Originalmodel24,fogmodel45,fogmodel55,fogmodel24,nightmodel45,nightmodel55,nightmodel24,rainmodel45,rainmodel55,rainmodel24,snowmodel45,snowmodel55,snowmodel24,daymodel45,daymodel55,daymodel24,images
0,98.48,94.92,93.91,35.53,38.07,28.93,97.97,92.89,95.94,94.92,92.39,93.4,95.43,86.8,94.42,98.48,94.42,94.42,197
1,64.83,63.45,76.55,4.14,11.03,6.9,51.72,60.69,48.28,54.48,42.76,55.86,51.72,38.62,55.86,66.21,60.69,78.62,145
2,50.0,45.73,71.34,25.0,21.34,21.95,36.59,52.44,75.0,50.0,48.17,69.51,49.39,41.46,69.51,47.56,47.56,71.34,164
3,65.31,61.22,34.69,6.12,10.2,0.0,53.06,63.27,22.45,63.27,55.1,22.45,61.22,51.02,30.61,67.35,61.22,34.69,49
4,75.0,75.0,50.0,0.0,25.0,0.0,75.0,75.0,75.0,75.0,75.0,25.0,75.0,75.0,25.0,75.0,75.0,50.0,4
5,100.0,75.0,50.0,0.0,0.0,0.0,100.0,75.0,50.0,75.0,75.0,50.0,75.0,75.0,50.0,100.0,75.0,50.0,4
6,94.74,91.23,94.74,19.3,61.4,8.77,82.46,91.23,87.72,91.23,87.72,84.21,87.72,89.47,84.21,94.74,91.23,94.74,57
7,56.86,81.37,64.71,0.0,14.71,1.96,43.14,71.57,50.0,35.29,66.67,41.18,40.2,56.86,44.12,56.86,80.39,64.71,102
8,100.0,100.0,66.67,0.0,0.0,0.0,66.67,100.0,66.67,66.67,66.67,0.0,66.67,66.67,66.67,66.67,100.0,66.67,3
9,100.0,0.0,50.0,0.0,0.0,50.0,100.0,50.0,100.0,100.0,0.0,50.0,100.0,0.0,50.0,100.0,0.0,50.0,2
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
11,78.03,83.33,71.97,18.18,30.3,15.15,55.3,76.52,48.48,71.97,78.03,64.39,71.97,71.21,65.15,76.52,84.09,70.45,132
12,98.05,95.61,96.59,33.17,26.83,21.46,98.05,94.15,95.12,81.95,75.12,81.46,84.88,74.15,85.37,98.05,95.61,96.59,205
13,33.33,33.33,33.33,33.33,0.0,0.0,33.33,0.0,0.0,33.33,33.33,33.33,0.0,33.33,0.0,33.33,33.33,33.33,3
14,0.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,2
15,86.46,94.27,90.62,17.19,34.9,13.02,73.44,90.62,78.65,78.12,92.71,81.77,76.04,90.1,84.9,84.9,94.79,90.1,192
16,98.42,96.58,88.16,45.0,54.74,35.53,96.84,96.58,84.74,97.37,96.05,86.32,95.53,94.74,84.74,98.42,96.84,88.16,380
17,83.84,87.88,62.63,12.12,18.18,13.13,56.57,74.75,23.23,78.79,87.88,52.53,72.73,80.81,49.49,83.84,86.87,62.63,99
18,83.33,50.0,66.67,16.67,16.67,16.67,100.0,66.67,66.67,83.33,66.67,83.33,66.67,66.67,50.0,83.33,66.67,66.67,6
19,34.93,22.25,20.56,0.0,0.28,0.0,22.25,6.2,8.73,20.0,13.52,12.11,18.59,14.93,13.52,35.49,23.38,20.56,355
20,86.25,90.21,86.44,34.65,67.8,34.09,80.41,90.58,80.41,84.18,87.57,84.75,82.86,85.88,85.69,85.69,90.21,86.82,531
21,90.5,84.5,86.5,29.0,24.5,10.5,80.5,78.0,81.5,84.5,84.0,84.0,85.5,81.0,81.0,90.5,85.5,87.0,200
22,96.85,98.43,91.34,55.91,52.76,18.9,97.64,96.85,77.17,96.06,96.85,88.19,96.85,96.06,90.55,96.85,98.43,91.34,127
23,94.82,92.65,93.98,48.8,60.24,31.33,94.7,92.41,93.98,93.61,90.96,92.05,93.73,90.48,93.13,94.94,92.77,94.34,830
24,81.82,90.91,63.64,0.0,0.0,0.0,81.82,90.91,54.55,36.36,81.82,63.64,45.45,90.91,63.64,81.82,90.91,63.64,11
26,93.33,73.33,66.67,40.0,20.0,6.67,66.67,73.33,60.0,73.33,66.67,80.0,80.0,60.0,80.0,93.33,73.33,86.67,15
27,86.36,86.36,90.91,31.82,22.73,4.55,86.36,81.82,77.27,86.36,81.82,77.27,77.27,77.27,90.91,86.36,86.36,90.91,22
29,34.78,8.7,26.09,30.43,0.0,21.74,17.39,0.0,26.09,26.09,0.0,26.09,26.09,4.35,30.43,30.43,4.35,26.09,23
31,92.68,87.6,81.5,34.35,26.63,29.27,89.84,87.6,78.25,85.57,74.39,74.39,83.74,69.72,68.09,92.07,86.59,80.49,492
32,38.67,74.67,11.33,0.67,8.67,2.0,12.67,61.33,2.67,10.67,41.33,3.33,16.67,47.33,4.67,38.0,73.33,12.67,150
34,96.76,96.3,94.26,56.57,60.0,50.37,96.2,92.96,91.57,95.28,91.11,91.11,94.07,89.54,91.76,96.76,96.11,94.35,1080
36,92.13,86.07,83.93,55.9,50.82,50.16,88.85,87.7,78.52,92.79,80.49,83.93,86.89,77.87,78.2,92.13,85.9,83.61,610
37,84.21,89.47,94.74,26.32,68.42,15.79,84.21,89.47,84.21,78.95,94.74,89.47,84.21,84.21,89.47,84.21,89.47,94.74,19
38,91.67,91.67,91.67,41.67,50.0,0.0,91.67,91.67,75.0,91.67,100.0,83.33,91.67,91.67,83.33,91.67,91.67,91.67,12
39,86.36,86.36,72.73,13.64,4.55,0.0,68.18,68.18,68.18,54.55,59.09,68.18,81.82,68.18,59.09,86.36,90.91,72.73,22
40,93.42,88.66,88.66,59.86,56.46,28.57,79.37,72.79,45.12,87.98,87.07,87.3,90.02,85.26,86.17,94.1,88.89,88.66,441
41,98.13,97.38,96.63,27.34,32.58,17.6,97.75,92.13,88.76,97.0,94.38,95.13,95.13,85.39,94.76,98.13,97.38,96.63,267
42,100.0,80.0,80.0,0.0,53.33,0.0,86.67,93.33,6.67,93.33,80.0,80.0,100.0,73.33,80.0,100.0,80.0,80.0,15
46,63.64,84.85,63.64,9.09,18.18,3.03,60.61,57.58,72.73,57.58,75.76,60.61,54.55,75.76,63.64,63.64,84.85,63.64,33
47,90.24,85.37,87.8,21.95,24.39,4.88,85.37,68.29,85.37,87.8,73.17,87.8,80.49,75.61,78.05,90.24,82.93,87.8,41
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
49,96.65,98.88,99.44,45.25,57.54,41.9,96.09,98.88,97.77,88.27,95.53,92.74,87.71,89.94,92.18,97.21,98.88,99.44,179
50,94.19,84.88,91.86,33.72,39.53,31.4,84.88,86.05,94.19,91.86,86.05,90.7,93.02,84.88,89.53,94.19,84.88,91.86,86
51,96.92,93.85,96.92,53.85,50.77,18.46,98.46,92.31,89.23,93.85,92.31,96.92,95.38,90.77,96.92,96.92,93.85,96.92,65
52,100.0,75.0,75.0,25.0,25.0,0.0,100.0,75.0,75.0,100.0,75.0,75.0,75.0,75.0,50.0,100.0,75.0,75.0,4
53,90.4,91.1,87.43,19.21,20.62,12.15,86.44,84.75,58.33,82.63,78.53,79.52,82.2,74.72,76.41,89.97,91.38,87.57,708
54,89.89,95.17,93.36,8.45,8.3,3.17,86.43,92.61,89.59,83.56,58.67,63.95,80.09,62.44,69.83,90.35,95.17,92.91,663
56,80.95,98.41,90.48,28.57,52.38,7.94,76.19,95.24,88.89,88.89,96.83,85.71,77.78,96.83,90.48,82.54,98.41,90.48,63
57,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,66.67,3
58,92.53,94.0,93.15,40.51,55.81,35.74,90.7,91.68,91.92,91.19,92.41,92.29,91.06,90.21,91.92,92.41,93.39,93.39,817
60,89.17,88.29,84.74,25.89,38.88,19.98,86.61,85.14,83.17,82.78,82.09,75.59,80.31,79.33,78.05,88.48,88.39,85.24,1016
