class,filters,error
90,Original,98.39
64,Original,78.57
23,Original,96.95
55,Original,93.16
52,Original,96.07
41,Original,94.06
30,Original,97.2
59,Original,100.0
67,Original,95.6
51,Original,90.57
84,Original,20.0
19,Original,82.57
86,Original,65.38
31,Original,93.01
48,Original,94.17
37,Original,94.41
50,Original,94.43
53,Original,92.41
77,Original,90.21
32,Original,97.73
119,Original,98.53
35,Original,83.33
111,Original,40.43
15,Original,95.62
58,Original,91.67
10,Original,75.0
110,Original,78.33
40,Original,100.0
1,Original,91.67
36,Original,97.44
21,Original,87.5
46,Original,97.28
16,Original,93.53
83,Original,97.53
72,Original,98.89
125,Original,13.46
0,Original,90.48
22,Original,97.14
66,Original,77.94
2,Original,94.64
79,Original,99.07
28,Original,93.05
74,Original,90.55
78,Original,94.15
62,Original,94.29
68,Original,89.74
70,Original,84.38
20,Original,93.07
12,Original,92.08
127,Original,19.23
45,Original,96.59
87,Original,68.86
91,Original,85.25
96,Original,33.33
63,Original,96.92
114,Original,82.93
93,Original,70.49
118,Original,80.21
56,Original,83.33
116,Original,81.25
17,Original,89.09
81,Original,89.19
100,Original,11.11
29,Original,67.8
85,Original,40.0
57,Original,91.88
39,Original,88.89
11,Original,95.83
42,Original,97.5
24,Original,95.24
49,Original,86.44
7,Original,84.09
61,Original,89.47
25,Original,78.26
97,Original,90.62
43,Original,89.66
105,Original,78.95
60,Original,81.54
88,Original,86.21
121,Original,45.83
18,Original,88.89
6,Original,88.89
112,Original,0.0
124,Original,39.58
126,Original,64.52
47,Original,83.87
99,Original,100.0
128,Original,30.3
102,Original,92.59
104,Original,0.0
26,Original,86.96
69,Original,93.33
103,Original,82.35
3,Original,81.82
117,Original,19.35
38,Original,80.0
129,Original,11.11
107,Original,100.0
94,Original,0.0
4,Original,77.78
113,Original,60.0
5,Original,75.0
76,Original,84.21
71,Original,96.0
92,Original,13.33
95,Original,0.0
33,Original,83.33
120,Original,15.79
54,Original,83.33
73,Original,88.0
82,Original,75.0
89,Original,77.78
75,Original,90.74
115,Original,0.0
34,Original,91.3
44,Original,62.5
14,Original,0.0
101,Original,37.5
27,Original,0.0
8,Original,85.71
65,Original,54.55
123,Original,0.0
13,Original,20.0
109,Original,75.0
106,Original,33.33
98,Original,33.33
9,Original,50.0
108,Original,75.0
80,Original,80.0
122,Original,0.0
