class,filters,error
28,day,93.82
32,day,95.75
48,day,92.02
76,day,89.47
36,day,94.23
23,day,92.68
117,day,9.68
46,day,96.11
50,day,87.17
16,day,96.04
118,day,57.29
90,day,97.43
17,day,58.18
121,day,20.83
66,day,64.71
110,day,78.89
57,day,80.2
4,day,77.78
123,day,10.0
11,day,81.25
78,day,94.23
40,day,87.5
22,day,97.14
103,day,88.24
33,day,88.89
39,day,77.78
31,day,92.47
15,day,87.5
51,day,80.33
30,day,96.03
55,day,90.17
87,day,37.13
86,day,64.84
53,day,89.03
21,day,92.71
20,day,90.48
111,day,38.72
37,day,97.9
116,day,75.0
45,day,91.29
63,day,88.55
52,day,90.08
81,day,94.59
97,day,87.5
19,day,77.98
75,day,88.89
0,day,95.24
41,day,96.04
34,day,91.3
77,day,88.11
70,day,85.94
124,day,27.08
91,day,86.89
100,day,0.0
35,day,86.11
125,day,0.0
72,day,92.22
83,day,93.83
74,day,95.52
79,day,99.07
61,day,85.96
99,day,95.65
128,day,18.18
2,day,83.93
126,day,67.74
5,day,62.5
49,day,83.05
25,day,91.3
1,day,91.67
84,day,20.0
54,day,83.33
101,day,50.0
64,day,50.0
24,day,57.14
42,day,91.25
88,day,72.41
60,day,93.85
7,day,56.82
27,day,0.0
12,day,90.1
71,day,96.0
18,day,44.44
6,day,82.54
59,day,83.33
44,day,100.0
56,day,50.0
62,day,97.14
68,day,76.92
114,day,43.9
119,day,86.76
67,day,95.6
93,day,91.8
85,day,10.0
8,day,42.86
122,day,100.0
80,day,100.0
26,day,69.57
65,day,100.0
3,day,77.27
38,day,70.0
69,day,93.33
120,day,0.0
29,day,71.19
127,day,42.31
73,day,96.0
102,day,96.3
109,day,12.5
43,day,93.1
129,day,27.78
92,day,6.67
98,day,100.0
9,day,75.0
47,day,80.65
10,day,87.5
115,day,0.0
96,day,77.78
105,day,68.42
58,day,83.33
95,day,20.0
82,day,25.0
112,day,0.0
89,day,33.33
14,day,25.0
107,day,87.5
13,day,40.0
94,day,0.0
104,day,0.0
106,day,16.67
113,day,20.0
108,day,50.0
