class,filters,error
57,fog,3.55
66,fog,16.91
51,fog,13.52
72,fog,12.22
55,fog,14.96
42,fog,36.25
111,fog,13.62
110,fog,31.67
23,fog,37.2
15,fog,22.5
87,fog,2.4
50,fog,30.27
46,fog,11.67
47,fog,12.9
25,fog,17.39
31,fog,49.46
90,fog,53.54
21,fog,17.71
52,fog,30.58
41,fog,41.58
71,fog,4.0
86,fog,1.1
53,fog,18.99
22,fog,45.71
59,fog,26.67
20,fog,33.77
45,fog,28.79
127,fog,38.46
0,fog,37.3
7,fog,2.27
48,fog,42.02
124,fog,2.08
32,fog,60.06
77,fog,27.27
30,fog,58.41
16,fog,58.99
83,fog,33.33
67,fog,25.27
28,fog,40.54
105,fog,21.05
12,fog,25.74
60,fog,18.46
37,fog,28.67
103,fog,11.76
19,fog,15.6
63,fog,25.11
116,fog,21.88
97,fog,39.06
38,fog,0.0
4,fog,11.11
79,fog,27.1
76,fog,26.32
74,fog,28.36
119,fog,60.29
78,fog,14.42
3,fog,27.27
92,fog,0.0
93,fog,11.48
114,fog,4.88
62,fog,11.43
61,fog,28.07
118,fog,23.96
102,fog,7.41
91,fog,26.23
2,fog,42.86
36,fog,62.82
49,fog,37.29
13,fog,0.0
44,fog,37.5
121,fog,8.33
29,fog,8.47
70,fog,35.94
56,fog,12.5
24,fog,0.0
73,fog,30.0
99,fog,17.39
115,fog,0.0
27,fog,0.0
117,fog,16.13
17,fog,18.18
120,fog,15.79
125,fog,3.85
43,fog,32.76
68,fog,20.51
81,fog,0.0
40,fog,37.5
6,fog,41.27
1,fog,18.75
10,fog,18.75
39,fog,22.22
54,fog,22.22
18,fog,0.0
101,fog,25.0
26,fog,21.74
129,fog,0.0
109,fog,0.0
64,fog,0.0
65,fog,27.27
34,fog,30.43
122,fog,0.0
5,fog,0.0
14,fog,0.0
98,fog,0.0
108,fog,0.0
33,fog,66.67
128,fog,6.06
35,fog,5.56
58,fog,8.33
8,fog,0.0
126,fog,6.45
88,fog,10.34
80,fog,0.0
95,fog,0.0
85,fog,0.0
112,fog,0.0
89,fog,0.0
123,fog,0.0
84,fog,0.0
104,fog,0.0
100,fog,0.0
75,fog,27.78
113,fog,0.0
11,fog,39.58
96,fog,11.11
82,fog,0.0
94,fog,0.0
69,fog,33.33
106,fog,0.0
107,fog,0.0
9,fog,25.0
