class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
0,96.03,96.03,95.24,25.4,37.3,37.3,88.1,96.03,95.24,89.68,92.86,92.06,90.48,89.68,88.89,96.03,96.03,95.24,126
1,89.58,91.67,91.67,22.92,18.75,22.92,89.58,89.58,83.33,64.58,60.42,60.42,66.67,66.67,68.75,89.58,91.67,91.67,48
2,89.29,89.29,83.93,21.43,42.86,48.21,83.93,91.07,87.5,85.71,83.93,82.14,87.5,82.14,80.36,87.5,89.29,83.93,56
3,90.91,81.82,72.73,18.18,27.27,31.82,54.55,81.82,68.18,81.82,81.82,77.27,81.82,77.27,68.18,86.36,81.82,77.27,22
4,88.89,77.78,77.78,0.0,11.11,11.11,77.78,66.67,55.56,77.78,66.67,55.56,77.78,77.78,66.67,88.89,77.78,77.78,9
5,12.5,75.0,62.5,12.5,0.0,0.0,12.5,50.0,62.5,12.5,50.0,62.5,25.0,62.5,62.5,12.5,75.0,62.5,8
6,84.13,76.19,82.54,15.87,41.27,57.14,71.43,65.08,76.19,82.54,73.02,80.95,77.78,73.02,74.6,84.13,74.6,82.54,63
7,45.45,40.91,52.27,0.0,2.27,2.27,13.64,34.09,31.82,22.73,40.91,43.18,36.36,34.09,47.73,43.18,40.91,56.82,44
8,57.14,14.29,42.86,0.0,0.0,0.0,57.14,14.29,28.57,28.57,14.29,28.57,42.86,28.57,42.86,42.86,14.29,42.86,7
9,75.0,50.0,75.0,0.0,25.0,0.0,25.0,25.0,75.0,75.0,75.0,75.0,75.0,50.0,75.0,75.0,50.0,75.0,4
10,87.5,75.0,87.5,31.25,18.75,18.75,56.25,56.25,50.0,75.0,68.75,81.25,81.25,75.0,75.0,87.5,75.0,87.5,16
11,87.5,72.92,81.25,16.67,39.58,12.5,77.08,64.58,45.83,81.25,79.17,70.83,83.33,68.75,68.75,87.5,70.83,81.25,48
12,95.05,87.13,89.11,26.73,25.74,30.69,90.1,82.18,82.18,78.22,71.29,73.27,82.18,70.3,71.29,94.06,87.13,90.1,101
13,40.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,40.0,20.0,20.0,40.0,40.0,40.0,60.0,40.0,5
14,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,0.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,4
15,87.5,89.38,89.38,10.0,22.5,31.25,83.12,83.75,83.12,81.25,86.25,84.38,83.12,85.62,80.0,86.88,90.62,87.5,160
16,93.53,90.29,96.04,36.69,58.99,46.04,87.41,86.33,90.29,90.65,88.85,94.6,90.65,88.13,92.45,93.53,90.29,96.04,278
17,78.18,72.73,56.36,10.91,18.18,1.82,38.18,34.55,18.18,76.36,72.73,52.73,67.27,65.45,54.55,80.0,74.55,58.18,55
18,88.89,33.33,44.44,0.0,0.0,0.0,77.78,88.89,66.67,100.0,44.44,44.44,66.67,33.33,22.22,88.89,33.33,44.44,9
19,76.15,78.9,79.82,7.34,15.6,8.26,36.7,75.23,65.14,62.39,62.39,45.87,61.47,61.47,58.72,75.23,77.98,77.98,109
20,87.01,88.74,90.04,25.97,33.77,40.69,77.92,80.52,84.42,84.42,81.39,85.71,81.39,83.98,84.42,86.58,88.74,90.48,231
21,87.5,90.62,91.67,8.33,17.71,26.04,78.12,61.46,84.38,86.46,82.29,89.58,86.46,80.21,82.29,88.54,90.62,92.71,96
22,90.0,81.43,97.14,24.29,45.71,61.43,88.57,78.57,94.29,91.43,78.57,95.71,91.43,77.14,97.14,90.0,81.43,97.14,70
23,93.29,93.9,92.68,42.07,37.2,50.0,93.29,90.24,93.9,91.16,91.46,89.33,92.99,88.11,89.33,92.99,93.9,92.68,328
24,61.9,52.38,57.14,4.76,0.0,4.76,42.86,38.1,57.14,47.62,52.38,38.1,61.9,38.1,61.9,61.9,47.62,57.14,21
25,82.61,73.91,91.3,13.04,17.39,39.13,65.22,69.57,86.96,73.91,78.26,91.3,73.91,69.57,91.3,73.91,78.26,91.3,23
26,69.57,47.83,73.91,13.04,21.74,26.09,52.17,39.13,69.57,60.87,39.13,78.26,56.52,52.17,73.91,69.57,47.83,69.57,23
27,0.0,4.35,0.0,0.0,0.0,0.0,0.0,4.35,17.39,0.0,4.35,0.0,4.35,4.35,0.0,0.0,4.35,0.0,23
28,93.44,87.64,93.82,33.59,40.54,36.68,84.94,76.06,89.19,83.4,81.08,87.26,85.33,76.83,85.33,93.44,86.49,93.82,259
29,66.1,52.54,67.8,5.08,8.47,3.39,47.46,25.42,52.54,32.2,30.51,47.46,42.37,32.2,47.46,69.49,52.54,71.19,59
30,91.82,95.33,95.79,43.46,58.41,61.68,87.85,92.29,95.33,85.98,89.72,95.09,86.21,87.62,94.39,91.82,95.33,96.03,428
31,83.87,89.78,92.47,23.12,49.46,50.54,44.09,73.12,75.81,79.03,84.41,89.25,83.33,89.78,89.25,83.87,90.32,92.47,186
32,97.17,97.45,95.75,56.66,60.06,60.06,95.47,91.78,92.07,94.9,92.92,92.63,92.07,91.5,90.65,97.45,97.45,95.75,353
33,83.33,88.89,88.89,27.78,66.67,38.89,88.89,77.78,83.33,88.89,88.89,83.33,83.33,83.33,77.78,83.33,88.89,88.89,18
34,73.91,82.61,91.3,21.74,30.43,56.52,69.57,73.91,91.3,69.57,73.91,82.61,69.57,78.26,82.61,73.91,78.26,91.3,23
35,80.56,80.56,88.89,22.22,5.56,22.22,19.44,11.11,69.44,72.22,66.67,75.0,80.56,75.0,77.78,77.78,80.56,86.11,36
36,97.44,92.31,93.59,55.13,62.82,48.08,72.44,74.36,32.69,95.51,88.46,87.82,91.03,88.46,88.46,98.08,92.31,94.23,156
37,96.5,96.5,97.2,21.68,28.67,18.18,88.11,84.62,92.31,94.41,93.01,91.61,93.71,85.31,83.92,97.2,96.5,97.9,143
38,100.0,70.0,70.0,20.0,0.0,10.0,70.0,20.0,40.0,90.0,70.0,60.0,80.0,70.0,70.0,100.0,70.0,70.0,10
39,72.22,63.89,80.56,19.44,22.22,36.11,61.11,38.89,63.89,58.33,47.22,72.22,63.89,63.89,75.0,69.44,58.33,77.78,36
40,87.5,81.25,87.5,33.33,37.5,29.17,79.17,60.42,79.17,83.33,77.08,85.42,83.33,77.08,85.42,87.5,81.25,87.5,48
41,96.04,93.07,96.04,49.5,41.58,40.59,98.02,92.08,95.05,94.06,91.09,87.13,92.08,89.11,85.15,96.04,93.07,96.04,101
42,90.0,95.0,91.25,36.25,36.25,48.75,80.0,81.25,82.5,90.0,86.25,87.5,83.75,88.75,91.25,90.0,93.75,91.25,80
43,93.1,96.55,91.38,29.31,32.76,48.28,86.21,98.28,91.38,93.1,93.1,93.1,89.66,93.1,89.66,93.1,96.55,93.1,58
44,87.5,75.0,100.0,0.0,37.5,25.0,75.0,87.5,100.0,75.0,87.5,87.5,87.5,75.0,100.0,87.5,75.0,100.0,8
45,93.56,87.5,90.91,21.59,28.79,21.59,83.33,73.11,89.77,85.23,76.14,84.47,86.74,75.38,79.17,93.18,85.61,91.29,264
46,93.39,95.72,96.5,8.95,11.67,12.84,47.86,87.94,93.77,70.43,78.6,83.27,71.21,80.16,79.38,93.39,96.11,96.11,257
47,87.1,74.19,80.65,9.68,12.9,19.35,67.74,9.68,74.19,70.97,54.84,80.65,67.74,61.29,74.19,83.87,70.97,80.65,31
48,94.48,92.33,91.72,36.81,42.02,37.42,91.41,81.6,87.42,91.41,87.42,90.8,90.49,85.28,86.5,95.09,92.02,92.02,326
49,81.36,83.05,81.36,16.95,37.29,18.64,69.49,77.97,72.88,76.27,84.75,77.97,77.97,83.05,77.97,81.36,81.36,83.05,59
50,88.38,87.17,87.17,27.12,30.27,41.16,83.78,66.34,89.1,80.15,79.42,83.05,79.42,77.24,79.42,87.17,86.68,87.17,413
51,87.3,71.31,80.74,3.28,13.52,5.33,74.59,50.0,72.13,60.25,50.82,61.48,67.21,54.51,59.84,85.25,70.9,80.33,244
