filter,class,predicted_class
Original,52,52
night,52,52
Original,46,51
night,46,46
Original,91,91
night,91,48
Original,90,77
night,90,90
Original,50,50
night,50,50
Original,111,111
night,111,111
Original,31,31
night,31,31
Original,52,52
night,52,52
Original,57,57
night,57,47
Original,60,60
night,60,60
Original,30,30
night,30,30
Original,55,55
night,55,40
Original,20,20
night,20,20
Original,42,42
night,42,42
Original,31,31
night,31,31
Original,45,45
night,45,45
Original,6,6
night,6,6
Original,6,6
night,6,6
Original,88,88
night,88,88
Original,78,78
night,78,78
Original,62,112
night,62,112
Original,28,28
night,28,110
Original,72,72
night,72,72
Original,63,63
night,63,110
Original,36,124
night,36,37
Original,16,129
night,16,129
Original,51,51
night,51,60
Original,42,42
night,42,42
Original,30,30
night,30,30
Original,74,74
night,74,74
Original,21,21
night,21,21
Original,30,30
night,30,30
Original,42,42
night,42,42
Original,74,74
night,74,74
Original,36,36
night,36,110
Original,22,22
night,22,22
Original,52,52
night,52,52
Original,74,74
night,74,74
Original,32,32
night,32,32
Original,90,90
night,90,90
Original,37,37
night,37,37
Original,78,78
night,78,78
Original,78,78
night,78,78
Original,52,52
night,52,52
Original,57,57
night,57,24
Original,42,42
night,42,42
Original,30,30
night,30,30
Original,79,79
night,79,79
Original,90,90
night,90,90
Original,16,16
night,16,16
Original,53,53
night,53,53
Original,15,15
night,15,15
Original,36,36
night,36,36
Original,15,15
night,15,15
Original,126,92
night,126,35
Original,50,50
night,50,50
Original,51,51
night,51,51
Original,46,46
night,46,46
Original,23,23
night,23,23
Original,50,50
night,50,50
Original,6,6
night,6,8
Original,52,52
night,52,52
Original,53,53
night,53,53
Original,67,67
night,67,67
Original,63,63
night,63,39
Original,90,90
night,90,90
Original,90,90
night,90,90
Original,45,45
night,45,45
Original,11,11
night,11,11
Original,51,51
night,51,51
Original,42,42
night,42,42
Original,48,48
night,48,48
Original,90,90
night,90,90
Original,90,90
night,90,90
Original,63,63
night,63,51
Original,52,52
night,52,52
Original,78,78
night,78,78
Original,55,55
night,55,41
Original,52,52
night,52,52
Original,21,21
night,21,21
Original,111,23
night,111,23
Original,28,111
night,28,111
Original,45,45
night,45,45
Original,51,51
night,51,51
Original,126,93
night,126,87
Original,53,53
night,53,53
Original,30,30
night,30,30
Original,86,110
night,86,121
Original,51,51
night,51,51
Original,46,46
night,46,45
Original,51,51
night,51,51
Original,52,52
night,52,53
Original,50,50
night,50,30
Original,113,77
night,113,32
Original,32,32
night,32,32
Original,55,55
night,55,55
Original,46,46
night,46,46
Original,77,77
night,77,77
Original,57,57
night,57,47
Original,127,70
night,127,90
Original,74,74
night,74,74
Original,43,43
night,43,43
Original,72,72
night,72,77
Original,20,2
night,20,2
Original,73,73
night,73,73
Original,20,20
night,20,20
Original,36,36
night,36,36
Original,12,12
night,12,12
Original,46,46
night,46,46
Original,53,55
night,53,40
Original,90,90
night,90,90
Original,111,111
night,111,111
Original,42,42
night,42,42
Original,28,28
night,28,28
Original,128,128
night,128,111
Original,45,45
night,45,45
Original,97,97
night,97,97
Original,126,126
night,126,126
Original,90,90
night,90,32
Original,119,119
night,119,119
Original,48,48
night,48,48
Original,106,106
night,106,106
Original,50,50
night,50,50
Original,30,30
night,30,30
Original,74,74
night,74,74
Original,36,36
night,36,36
Original,0,0
night,0,0
Original,13,13
night,13,122
Original,90,90
night,90,90
Original,39,40
night,39,110
Original,97,97
night,97,97
Original,74,74
night,74,74
Original,51,51
night,51,50
Original,72,72
night,72,72
Original,72,72
night,72,72
Original,111,28
night,111,111
Original,72,72
night,72,72
Original,90,90
night,90,90
Original,52,52
night,52,52
Original,51,51
night,51,51
Original,125,118
night,125,118
Original,63,63
night,63,66
Original,55,55
night,55,55
Original,67,67
night,67,67
Original,28,28
night,28,28
Original,57,53
night,57,63
Original,74,74
night,74,74
Original,1,1
night,1,1
Original,45,45
night,45,45
Original,110,110
night,110,110
Original,90,90
night,90,90
Original,21,21
night,21,21
Original,48,48
night,48,48
Original,110,111
night,110,111
Original,91,91
night,91,48
Original,52,52
night,52,52
Original,77,77
night,77,77
Original,78,78
night,78,78
Original,75,75
night,75,75
Original,61,61
night,61,61
Original,20,15
night,20,90
Original,119,67
night,119,67
Original,28,28
night,28,28
Original,19,18
night,19,49
Original,30,30
night,30,30
Original,78,78
night,78,78
Original,30,30
night,30,30
Original,16,16
night,16,16
Original,78,78
night,78,78
Original,0,0
night,0,0
Original,83,67
night,83,110
Original,23,23
night,23,23
Original,63,63
night,63,66
Original,30,30
night,30,30
Original,62,112
night,62,62
Original,23,23
night,23,23
Original,30,30
night,30,30
Original,28,28
night,28,28
Original,15,15
night,15,15
Original,52,52
night,52,52
Original,31,31
night,31,31
Original,36,36
night,36,36
Original,63,63
night,63,63
Original,78,78
night,78,78
Original,34,34
night,34,34
Original,32,32
night,32,32
Original,61,118
night,61,118
Original,6,6
night,6,6
Original,29,29
night,29,29
Original,52,52
night,52,48
Original,99,99
night,99,90
Original,63,63
night,63,74
Original,30,30
night,30,30
Original,53,53
night,53,53
Original,111,27
night,111,41
Original,57,57
night,57,57
Original,51,51
night,51,51
Original,111,111
night,111,118
Original,104,108
night,104,87
Original,23,23
night,23,23
Original,50,50
night,50,50
Original,45,45
night,45,45
Original,119,61
night,119,61
Original,48,48
night,48,48
Original,37,37
night,37,59
Original,31,31
night,31,31
Original,57,57
night,57,57
Original,15,52
night,15,15
Original,41,41
night,41,41
Original,52,52
night,52,52
Original,50,50
night,50,50
Original,16,16
night,16,16
Original,22,22
night,22,22
Original,36,36
night,36,36
Original,67,67
night,67,67
Original,53,53
night,53,53
Original,52,52
night,52,52
Original,74,74
night,74,74
Original,36,36
night,36,36
Original,16,16
night,16,16
Original,51,51
night,51,51
Original,90,90
night,90,90
Original,6,22
night,6,22
Original,67,67
night,67,67
Original,90,90
night,90,90
Original,36,36
night,36,36
Original,87,87
night,87,23
Original,37,37
night,37,37
Original,32,32
night,32,32
Original,46,46
night,46,45
Original,114,83
night,114,114
Original,42,42
night,42,128
Original,37,37
night,37,32
Original,75,75
night,75,75
Original,32,32
night,32,32
Original,79,79
night,79,79
Original,52,52
night,52,53
Original,20,20
night,20,20
Original,31,31
night,31,31
Original,47,47
night,47,77
Original,38,38
night,38,38
Original,28,28
night,28,28
Original,52,52
night,52,52
Original,110,110
night,110,110
Original,46,46
night,46,61
Original,53,53
night,53,60
Original,22,110
night,22,110
Original,34,34
night,34,34
Original,32,32
night,32,32
Original,110,110
night,110,110
Original,126,126
night,126,126
Original,67,78
night,67,78
Original,7,7
night,7,20
Original,112,120
night,112,120
Original,45,45
night,45,45
Original,82,82
night,82,78
Original,52,52
night,52,52
Original,74,74
night,74,74
Original,110,111
night,110,111
Original,52,52
night,52,52
Original,90,90
night,90,90
Original,42,42
night,42,42
Original,55,55
night,55,41
Original,52,48
night,52,52
Original,23,23
night,23,23
Original,66,74
night,66,32
Original,28,28
night,28,28
Original,110,111
night,110,111
Original,53,53
night,53,60
Original,19,19
night,19,19
Original,111,32
night,111,118
Original,90,90
night,90,90
Original,70,70
night,70,76
Original,28,28
night,28,28
Original,30,30
night,30,30
Original,51,55
night,51,55
Original,27,110
night,27,110
Original,16,16
night,16,16
Original,110,110
night,110,110
Original,124,37
night,124,113
Original,27,61
night,27,32
Original,78,78
night,78,78
Original,31,31
night,31,69
Original,10,10
night,10,4
Original,69,69
night,69,69
Original,48,48
night,48,48
Original,87,59
night,87,60
Original,41,41
night,41,41
Original,83,83
night,83,83
Original,63,63
night,63,39
Original,0,0
night,0,0
Original,79,79
night,79,79
Original,52,52
night,52,52
Original,0,0
night,0,0
Original,124,111
night,124,124
Original,37,37
night,37,37
Original,30,30
night,30,30
Original,28,28
night,28,28
Original,50,50
night,50,50
Original,92,91
night,92,91
Original,67,67
night,67,67
Original,81,81
night,81,110
Original,92,95
night,92,91
Original,52,52
night,52,52
Original,12,12
night,12,12
Original,1,1
night,1,1
Original,50,50
night,50,50
Original,25,25
night,25,16
Original,21,21
night,21,20
Original,37,37
night,37,32
Original,22,22
night,22,22
Original,5,25
night,5,25
Original,46,46
night,46,45
Original,10,10
night,10,101
Original,28,28
night,28,28
Original,52,27
night,52,118
Original,50,53
night,50,53
Original,121,49
night,121,61
Original,52,52
night,52,52
Original,79,79
night,79,79
Original,55,55
night,55,55
Original,21,21
night,21,21
Original,2,2
night,2,2
Original,50,50
night,50,50
Original,67,111
night,67,39
Original,90,90
night,90,90
Original,19,19
night,19,19
Original,90,90
night,90,90
Original,86,90
night,86,90
Original,72,72
night,72,72
Original,86,86
night,86,118
Original,50,50
night,50,50
Original,48,48
night,48,48
Original,52,52
night,52,52
Original,11,11
night,11,11
Original,48,48
night,48,48
Original,67,67
night,67,67
Original,126,126
night,126,35
Original,81,81
night,81,81
Original,23,23
night,23,23
Original,30,30
night,30,30
Original,117,117
night,117,124
Original,50,50
night,50,50
Original,67,67
night,67,67
Original,20,20
night,20,20
Original,67,67
night,67,78
Original,74,74
night,74,74
Original,32,32
night,32,32
Original,16,16
night,16,16
Original,55,55
night,55,55
Original,31,31
night,31,31
Original,31,31
night,31,39
Original,12,12
night,12,12
Original,36,36
night,36,36
Original,90,90
night,90,69
Original,32,32
night,32,32
Original,129,16
night,129,110
Original,45,45
night,45,45
Original,46,46
night,46,61
Original,45,45
night,45,45
Original,50,50
night,50,50
Original,87,110
night,87,110
Original,32,32
night,32,32
Original,31,31
night,31,39
Original,53,53
night,53,53
Original,48,53
night,48,53
Original,63,32
night,63,32
Original,29,29
night,29,23
Original,0,0
night,0,0
Original,86,86
night,86,110
Original,75,75
night,75,41
Original,23,23
night,23,23
Original,67,67
night,67,67
Original,74,74
night,74,74
Original,36,36
night,36,36
Original,43,43
night,43,43
Original,50,50
night,50,50
Original,48,48
night,48,48
Original,45,45
night,45,45
Original,86,86
night,86,111
Original,22,22
night,22,22
Original,87,87
night,87,27
Original,78,78
night,78,78
Original,55,55
night,55,48
Original,48,48
night,48,48
Original,35,35
night,35,100
Original,30,30
night,30,30
Original,52,52
night,52,52
Original,30,30
night,30,30
Original,47,47
night,47,47
Original,63,63
night,63,63
Original,15,15
night,15,15
Original,90,90
night,90,90
Original,87,23
night,87,118
Original,86,86
night,86,23
Original,116,116
night,116,120
Original,45,45
night,45,45
Original,110,110
night,110,110
Original,2,2
night,2,2
Original,55,55
night,55,55
Original,57,57
night,57,57
Original,57,57
night,57,57
Original,23,23
night,23,23
Original,111,110
night,111,110
Original,37,37
night,37,39
Original,32,32
night,32,32
Original,41,41
night,41,41
Original,46,46
night,46,61
Original,128,32
night,128,35
Original,67,67
night,67,67
Original,70,41
night,70,121
Original,36,36
night,36,36
Original,118,112
night,118,112
Original,50,50
night,50,50
Original,110,35
night,110,126
Original,90,90
night,90,90
Original,68,68
night,68,68
Original,87,111
night,87,111
Original,90,90
night,90,90
Original,32,32
night,32,32
Original,36,36
night,36,36
Original,87,110
night,87,124
Original,51,51
night,51,51
Original,126,126
night,126,126
Original,53,53
night,53,50
Original,73,73
night,73,111
Original,86,86
night,86,118
Original,31,66
night,31,39
Original,52,52
night,52,52
Original,28,28
night,28,21
Original,42,48
night,42,32
Original,71,71
night,71,111
Original,88,88
night,88,118
Original,23,23
night,23,23
Original,63,63
night,63,52
Original,50,53
night,50,111
Original,52,52
night,52,52
Original,42,42
night,42,42
Original,52,52
night,52,52
Original,52,52
night,52,52
Original,67,80
night,67,93
Original,10,10
night,10,10
Original,120,74
night,120,120
Original,32,32
night,32,123
Original,20,20
night,20,20
Original,0,0
night,0,0
Original,46,46
night,46,91
Original,56,56
night,56,20
Original,30,74
night,30,30
Original,48,48
night,48,48
Original,126,126
night,126,126
Original,22,22
night,22,22
Original,81,81
night,81,81
Original,119,119
night,119,119
Original,16,16
night,16,16
Original,30,30
night,30,30
Original,99,99
night,99,99
Original,87,87
night,87,87
Original,41,41
night,41,41
Original,67,67
night,67,67
Original,7,7
night,7,22
Original,16,16
night,16,16
Original,74,74
night,74,74
Original,50,97
night,50,97
Original,116,116
night,116,118
Original,118,97
night,118,97
Original,53,53
night,53,53
Original,23,23
night,23,23
Original,28,28
night,28,28
Original,50,50
night,50,50
Original,22,22
night,22,22
Original,90,90
night,90,90
Original,50,50
night,50,50
Original,83,83
night,83,83
Original,45,45
night,45,45
Original,23,23
night,23,23
Original,74,74
night,74,74
Original,74,74
night,74,74
Original,0,0
night,0,61
Original,45,45
night,45,45
Original,25,0
night,25,120
Original,124,124
night,124,111
Original,48,48
night,48,48
Original,116,77
night,116,116
Original,90,90
night,90,90
Original,49,50
night,49,40
Original,90,90
night,90,90
Original,48,48
night,48,48
Original,45,45
night,45,45
Original,55,55
night,55,55
Original,74,74
night,74,74
Original,16,16
night,16,16
Original,81,81
night,81,81
Original,48,48
night,48,48
Original,93,95
night,93,91
Original,55,41
night,55,41
Original,86,86
night,86,110
Original,32,32
night,32,32
Original,52,52
night,52,52
Original,77,77
night,77,77
Original,46,46
night,46,46
Original,20,20
night,20,20
Original,45,45
night,45,45
Original,29,2
night,29,2
Original,48,48
night,48,48
Original,39,39
night,39,39
Original,30,30
night,30,128
Original,111,110
night,111,110
Original,67,67
night,67,67
Original,99,99
night,99,99
Original,30,30
night,30,30
Original,51,51
night,51,49
Original,47,47
night,47,47
Original,52,52
night,52,52
Original,118,112
night,118,121
Original,23,23
night,23,23
Original,20,20
night,20,20
Original,34,48
night,34,48
Original,41,41
night,41,41
Original,36,36
night,36,110
Original,90,90
night,90,90
Original,90,90
night,90,90
Original,32,32
night,32,32
Original,23,23
night,23,23
Original,73,73
night,73,32
Original,0,0
night,0,0
Original,86,86
night,86,118
Original,119,28
night,119,83
Original,36,36
night,36,36
Original,74,76
night,74,32
Original,48,48
night,48,48
Original,16,49
night,16,122
Original,52,52
night,52,52
Original,28,28
night,28,28
Original,111,86
night,111,86
Original,54,54
night,54,54
Original,20,20
night,20,20
Original,36,36
night,36,86
Original,12,12
night,12,12
Original,39,39
night,39,84
Original,30,30
night,30,30
Original,75,75
night,75,75
Original,111,111
night,111,111
Original,66,66
night,66,32
Original,30,30
night,30,30
Original,36,36
night,36,87
Original,46,46
night,46,60
Original,16,16
night,16,16
Original,93,93
night,93,91
Original,52,52
night,52,52
Original,48,126
night,48,126
Original,7,6
night,7,7
Original,46,46
night,46,45
Original,51,50
night,51,50
Original,53,53
night,53,53
Original,70,70
night,70,70
Original,74,74
night,74,74
Original,15,15
night,15,15
Original,67,83
night,67,83
Original,90,90
night,90,90
Original,77,74
night,77,74
Original,127,90
night,127,70
Original,105,105
night,105,105
Original,76,76
night,76,76
Original,74,74
night,74,74
Original,31,31
night,31,45
Original,48,48
night,48,48
Original,57,41
night,57,41
Original,48,48
night,48,48
Original,30,30
