class,filters,error
90,night,83.92
64,night,0.0
23,night,87.8
55,night,70.51
52,night,84.5
41,night,92.08
30,night,91.82
59,night,93.33
67,night,86.81
51,night,67.21
84,night,0.0
19,night,88.07
86,night,10.44
31,night,50.54
48,night,84.05
37,night,80.42
50,night,82.32
53,night,78.9
77,night,53.85
32,night,89.52
119,night,89.71
35,night,44.44
111,night,28.94
15,night,76.25
58,night,83.33
10,night,56.25
110,night,57.78
40,night,60.42
1,night,85.42
36,night,52.56
21,night,80.21
46,night,87.55
16,night,85.97
83,night,76.54
72,night,72.22
125,night,0.0
0,night,84.13
22,night,90.0
66,night,32.35
2,night,92.86
79,night,74.77
28,night,81.08
74,night,71.64
78,night,82.44
62,night,97.14
68,night,61.54
70,night,70.31
20,night,87.01
12,night,86.14
127,night,0.0
45,night,84.47
87,night,44.31
91,night,39.34
96,night,0.0
63,night,22.03
114,night,51.22
93,night,9.84
118,night,58.33
56,night,4.17
116,night,37.5
17,night,43.64
81,night,51.35
100,night,0.0
29,night,30.51
85,night,30.0
57,night,63.45
39,night,27.78
11,night,60.42
42,night,85.0
24,night,42.86
49,night,77.97
7,night,47.73
61,night,73.68
25,night,60.87
97,night,85.94
43,night,86.21
105,night,47.37
60,night,87.69
88,night,37.93
121,night,8.33
18,night,88.89
6,night,74.6
112,night,0.0
124,night,25.0
126,night,32.26
47,night,58.06
99,night,4.35
128,night,15.15
102,night,51.85
104,night,0.0
26,night,91.3
69,night,86.67
103,night,0.0
3,night,77.27
117,night,32.26
38,night,80.0
129,night,0.0
107,night,100.0
94,night,0.0
4,night,33.33
113,night,0.0
5,night,25.0
76,night,52.63
71,night,40.0
92,night,6.67
95,night,0.0
33,night,77.78
120,night,5.26
54,night,0.0
73,night,16.0
82,night,0.0
89,night,22.22
75,night,68.52
115,night,0.0
34,night,39.13
44,night,37.5
14,night,0.0
101,night,0.0
27,night,0.0
8,night,57.14
65,night,9.09
123,night,10.0
13,night,0.0
109,night,12.5
106,night,33.33
98,night,0.0
9,night,50.0
108,night,0.0
80,night,0.0
122,night,66.67
