class,filters,error
97,rain,79.69
91,rain,81.97
52,rain,72.73
62,rain,65.71
9,rain,75.0
19,rain,45.87
51,rain,61.48
63,rain,77.97
31,rain,89.25
57,rain,64.47
126,rain,74.19
82,rain,25.0
16,rain,94.6
84,rain,40.0
90,rain,95.34
45,rain,84.47
111,rain,38.3
21,rain,89.58
23,rain,89.33
30,rain,95.09
55,rain,77.78
29,rain,47.46
109,rain,0.0
36,rain,87.82
32,rain,92.63
37,rain,91.61
88,rain,37.93
22,rain,95.71
86,rain,58.24
74,rain,94.53
114,rain,43.9
50,rain,83.05
67,rain,84.07
77,rain,80.42
1,rain,60.42
92,rain,6.67
110,rain,73.33
128,rain,18.18
60,rain,58.46
75,rain,77.78
66,rain,54.41
118,rain,57.29
17,rain,52.73
99,rain,91.3
124,rain,27.08
46,rain,83.27
15,rain,84.38
8,rain,28.57
81,rain,75.68
48,rain,90.8
53,rain,77.64
127,rain,34.62
49,rain,77.97
119,rain,91.18
11,rain,70.83
0,rain,92.06
76,rain,68.42
70,rain,84.38
25,rain,91.3
94,rain,0.0
83,rain,92.59
87,rain,28.14
79,rain,95.33
20,rain,85.71
56,rain,33.33
58,rain,91.67
121,rain,12.5
72,rain,91.11
39,rain,72.22
28,rain,87.26
54,rain,77.78
59,rain,60.0
12,rain,73.27
64,rain,21.43
117,rain,12.9
93,rain,88.52
120,rain,0.0
10,rain,81.25
35,rain,75.0
116,rain,53.12
61,rain,80.7
6,rain,80.95
102,rain,88.89
125,rain,0.0
43,rain,93.1
2,rain,82.14
78,rain,77.88
69,rain,93.33
85,rain,20.0
122,rain,66.67
5,rain,62.5
104,rain,0.0
95,rain,0.0
27,rain,0.0
123,rain,20.0
42,rain,87.5
108,rain,50.0
101,rain,50.0
129,rain,16.67
73,rain,92.0
3,rain,77.27
40,rain,85.42
112,rain,0.0
71,rain,76.0
41,rain,87.13
44,rain,87.5
103,rain,88.24
65,rain,81.82
100,rain,0.0
113,rain,0.0
98,rain,66.67
33,rain,83.33
7,rain,43.18
38,rain,60.0
68,rain,69.23
107,rain,75.0
34,rain,82.61
18,rain,44.44
4,rain,55.56
47,rain,80.65
96,rain,77.78
24,rain,38.1
26,rain,78.26
14,rain,25.0
89,rain,22.22
80,rain,100.0
105,rain,57.89
106,rain,33.33
115,rain,0.0
13,rain,20.0
