class,filters,error
78,snow,81.73
90,snow,93.41
52,snow,73.35
50,snow,79.42
33,snow,83.33
15,snow,83.12
36,snow,91.03
68,snow,74.36
128,snow,15.15
61,snow,70.18
30,snow,86.21
46,snow,71.21
77,snow,83.92
43,snow,89.66
12,snow,82.18
66,snow,65.44
29,snow,42.37
73,snow,100.0
41,snow,92.08
92,snow,13.33
42,snow,83.75
53,snow,72.15
63,snow,81.5
45,snow,86.74
16,snow,90.65
86,snow,60.99
111,snow,40.43
72,snow,88.89
23,snow,92.99
48,snow,90.49
32,snow,92.07
83,snow,88.89
129,snow,27.78
67,snow,74.18
28,snow,85.33
125,snow,3.85
19,snow,61.47
37,snow,93.71
74,snow,94.53
100,snow,22.22
60,snow,70.77
70,snow,82.81
47,snow,67.74
110,snow,73.33
20,snow,81.39
0,snow,90.48
51,snow,67.21
93,snow,39.34
57,snow,49.75
87,snow,42.51
64,snow,64.29
126,snow,38.71
76,snow,84.21
88,snow,51.72
55,snow,72.22
49,snow,77.97
31,snow,83.33
104,snow,0.0
21,snow,86.46
119,snow,80.88
118,snow,40.62
24,snow,61.9
80,snow,80.0
120,snow,10.53
38,snow,80.0
58,snow,75.0
81,snow,94.59
44,snow,87.5
39,snow,63.89
17,snow,67.27
6,snow,77.78
96,snow,55.56
105,snow,47.37
2,snow,87.5
97,snow,81.25
115,snow,0.0
75,snow,75.93
22,snow,91.43
71,snow,88.0
79,snow,94.39
7,snow,36.36
101,snow,50.0
127,snow,26.92
99,snow,95.65
3,snow,81.82
114,snow,51.22
107,snow,87.5
40,snow,83.33
116,snow,78.12
35,snow,80.56
91,snow,81.97
11,snow,83.33
95,snow,0.0
124,snow,16.67
1,snow,66.67
25,snow,73.91
102,snow,88.89
85,snow,0.0
54,snow,61.11
34,snow,69.57
26,snow,56.52
27,snow,4.35
103,snow,70.59
56,snow,37.5
84,snow,0.0
89,snow,33.33
123,snow,10.0
9,snow,75.0
112,snow,0.0
109,snow,12.5
121,snow,16.67
62,snow,40.0
18,snow,66.67
10,snow,81.25
5,snow,25.0
108,snow,0.0
59,snow,70.0
94,snow,0.0
117,snow,9.68
69,snow,93.33
13,snow,20.0
14,snow,0.0
113,snow,0.0
65,snow,90.91
82,snow,37.5
106,snow,33.33
122,snow,0.0
8,snow,42.86
4,snow,77.78
98,snow,33.33
